Letter,Vowel,Consonant1,Consonant2,audioFile,audioUrl,a,b,c,d,corpusId
a_long,a_long,a_long,a_long,aLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/aLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
a_short,a_short,a_short,a_short,aShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/aShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
air,air,air,air,airPhoneme,https://storage.googleapis.com/roar-ak/en/shared/airPhoneme.mp3,1,0,0.25,1,letterPhoneme
ar,ar,ar,ar,arPhoneme,https://storage.googleapis.com/roar-ak/en/shared/arPhoneme.mp3,1,0,0.25,1,letterPhoneme
b,b,b,b,bPhoneme,https://storage.googleapis.com/roar-ak/en/shared/bPhoneme.mp3,1,0,0.25,1,letterPhoneme
c_hard,c_hard,c_hard,c_hard,cHardPhoneme,https://storage.googleapis.com/roar-ak/en/shared/cHardPhoneme.mp3,1,0,0.25,1,letterPhoneme
c_soft,c_soft,c_soft,c_soft,cSoftPhoneme,https://storage.googleapis.com/roar-ak/en/shared/cSoftPhoneme.mp3,1,0,0.25,1,letterPhoneme
ch,ch,ch,ch,chPhoneme,https://storage.googleapis.com/roar-ak/en/shared/chPhoneme.mp3,1,0,0.25,1,letterPhoneme
d,d,d,d,dPhoneme,https://storage.googleapis.com/roar-ak/en/shared/dPhoneme.mp3,1,0,0.25,1,letterPhoneme
e_long,e_long,e_long,e_long,eLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/eLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
e_short,e_short,e_short,e_short,eShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/eShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
eer,eer,eer,eer,eerPhoneme,https://storage.googleapis.com/roar-ak/en/shared/eerPhoneme.mp3,1,0,0.25,1,letterPhoneme
er,er,er,er,erPhoneme,https://storage.googleapis.com/roar-ak/en/shared/erPhoneme.mp3,1,0,0.25,1,letterPhoneme
f,f,f,f,fPhoneme,https://storage.googleapis.com/roar-ak/en/shared/fPhoneme.mp3,1,0,0.25,1,letterPhoneme
g_hard,g_hard,g_hard,g_hard,gHardPhoneme,https://storage.googleapis.com/roar-ak/en/shared/gHardPhoneme.mp3,1,0,0.25,1,letterPhoneme
g_soft,g_soft,g_soft,g_soft,gSoftPhoneme,https://storage.googleapis.com/roar-ak/en/shared/gSoftPhoneme.mp3,1,0,0.25,1,letterPhoneme
h,h,h,h,hPhoneme,https://storage.googleapis.com/roar-ak/en/shared/hPhoneme.mp3,1,0,0.25,1,letterPhoneme
hw,hw,hw,hw,hwPhoneme,https://storage.googleapis.com/roar-ak/en/shared/hwPhoneme.mp3,1,0,0.25,1,letterPhoneme
i_long,i_long,i_long,i_long,iLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/iLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
i_short,i_short,i_short,i_short,iShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/iShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
j,j,j,j,jPhoneme,https://storage.googleapis.com/roar-ak/en/shared/jPhoneme.mp3,1,0,0.25,1,letterPhoneme
k,k,k,k,kPhoneme,https://storage.googleapis.com/roar-ak/en/shared/kPhoneme.mp3,1,0,0.25,1,letterPhoneme
l,l,l,l,lPhoneme,https://storage.googleapis.com/roar-ak/en/shared/lPhoneme.mp3,1,0,0.25,1,letterPhoneme
m,m,m,m,mPhoneme,https://storage.googleapis.com/roar-ak/en/shared/mPhoneme.mp3,1,0,0.25,1,letterPhoneme
n,n,n,n,nPhoneme,https://storage.googleapis.com/roar-ak/en/shared/nPhoneme.mp3,1,0,0.25,1,letterPhoneme
ng,ng,ng,ng,ngPhoneme,https://storage.googleapis.com/roar-ak/en/shared/ngPhoneme.mp3,1,0,0.25,1,letterPhoneme
o_long,o_long,o_long,o_long,oLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/oLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
o_short,o_short,o_short,o_short,oShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/oShortPhoneme.mp3,1,0,0.25,1,letterPhoneme
oar,oar,oar,oar,oarPhoneme,https://storage.googleapis.com/roar-ak/en/shared/oarPhoneme.mp3,1,0,0.25,1,letterPhoneme
oi,oi,oi,oi,oiPhoneme,https://storage.googleapis.com/roar-ak/en/shared/oiPhoneme.mp3,1,0,0.25,1,letterPhoneme
oo_long,oo_long,oo_long,oo_long,ooLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/ooLongPhoneme.mp3,1,0,0.25,1,letterPhoneme
