target,distractor1,distractor2,distractor3,audioFile,audioUrl,corpusId,composite.a,composite.b,composite.c,composite.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d
t,d,r,f,tLetter,https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3,letterNamePractice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.89379034598837,0.25,1.0,NA,NA,NA,NA
o,g,p,j,oLetter,https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3,letterNamePractice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.89993678243755,0.25,1.0,NA,NA,NA,NA
a,u,w,m,aLetter,https://storage.googleapis.com/roar-ak/en/shared/aLetter.mp3,letterNameLower,1.0,-3.51186149293197,0.25,1.0,NA,NA,NA,NA,1.0,-3.51186149293197,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b,o,l,h,bLetter,https://storage.googleapis.com/roar-ak/en/shared/bLetter.mp3,letterNameLower,1.0,-3.05266741997777,0.25,1.0,NA,NA,NA,NA,1.0,-3.05266741997777,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c,u,r,l,cLetter,https://storage.googleapis.com/roar-ak/en/shared/cLetter.mp3,letterNameLower,1.0,-3.33151653911165,0.25,1.0,NA,NA,NA,NA,1.0,-3.33151653911165,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d,a,j,f,dLetter,https://storage.googleapis.com/roar-ak/en/shared/dLetter.mp3,letterNameLower,1.0,-2.98508364207977,0.25,1.0,NA,NA,NA,NA,1.0,-2.98508364207977,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e,u,d,z,eLetter,https://storage.googleapis.com/roar-ak/en/shared/eLetter.mp3,letterNameLower,1.0,-2.411784652584,0.25,1.0,NA,NA,NA,NA,1.0,-2.411784652584,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f,o,p,q,fLetter,https://storage.googleapis.com/roar-ak/en/shared/fLetter.mp3,letterNameLower,1.0,-3.19050493036965,0.25,1.0,NA,NA,NA,NA,1.0,-3.19050493036965,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
g,e,x,h,gLetter,https://storage.googleapis.com/roar-ak/en/shared/gLetter.mp3,letterNameLower,1.0,-3.26813054196035,0.25,1.0,NA,NA,NA,NA,1.0,-3.26813054196035,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
h,u,g,w,hLetter,https://storage.googleapis.com/roar-ak/en/shared/hLetter.mp3,letterNameLower,1.0,-3.27048029747772,0.25,1.0,NA,NA,NA,NA,1.0,-3.27048029747772,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
i,u,t,b,iLetter,https://storage.googleapis.com/roar-ak/en/shared/iLetter.mp3,letterNameLower,1.0,-3.71795047354591,0.25,1.0,NA,NA,NA,NA,1.0,-3.71795047354591,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
j,a,v,h,jLetter,https://storage.googleapis.com/roar-ak/en/shared/jLetter.mp3,letterNameLower,1.0,-3.10081939515332,0.25,1.0,NA,NA,NA,NA,1.0,-3.10081939515332,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k,i,x,c,kLetter,https://storage.googleapis.com/roar-ak/en/shared/kLetter.mp3,letterNameLower,1.0,-3.4170601769454,0.25,1.0,NA,NA,NA,NA,1.0,-3.4170601769454,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
l,i,m,x,lLetter,https://storage.googleapis.com/roar-ak/en/shared/lLetter.mp3,letterNameLower,1.0,-2.49879830735797,0.25,1.0,NA,NA,NA,NA,1.0,-2.49879830735797,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m,a,x,k,mLetter,https://storage.googleapis.com/roar-ak/en/shared/mLetter.mp3,letterNameLower,1.0,-4.00629403765395,0.25,1.0,NA,NA,NA,NA,1.0,-4.00629403765395,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n,a,f,r,nLetter,https://storage.googleapis.com/roar-ak/en/shared/nLetter.mp3,letterNameLower,1.0,-2.8153285782134,0.25,1.0,NA,NA,NA,NA,1.0,-2.8153285782134,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
o,i,j,g,oLetter,https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3,letterNameLower,1.0,-2.89993678243755,0.25,1.0,NA,NA,NA,NA,1.0,-2.89993678243755,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
p,a,y,r,pLetter,https://storage.googleapis.com/roar-ak/en/shared/pLetter.mp3,letterNameLower,1.0,-2.57147846786274,0.25,1.0,NA,NA,NA,NA,1.0,-2.57147846786274,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
q,a,j,l,qLetter,https://storage.googleapis.com/roar-ak/en/shared/qLetter.mp3,letterNameLower,1.0,-2.94384847897909,0.25,1.0,NA,NA,NA,NA,1.0,-2.94384847897909,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
r,e,w,p,rLetter,https://storage.googleapis.com/roar-ak/en/shared/rLetter.mp3,letterNameLower,1.0,-3.92336053741706,0.25,1.0,NA,NA,NA,NA,1.0,-3.92336053741706,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s,o,q,z,sLetter,https://storage.googleapis.com/roar-ak/en/shared/sLetter.mp3,letterNameLower,1.0,-3.81263519989081,0.25,1.0,NA,NA,NA,NA,1.0,-3.81263519989081,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t,a,c,v,tLetter,https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3,letterNameLower,1.0,-2.89379034598837,0.25,1.0,NA,NA,NA,NA,1.0,-2.89379034598837,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
u,i,p,t,uLetter,https://storage.googleapis.com/roar-ak/en/shared/uLetter.mp3,letterNameLower,1.0,-3.07546051044404,0.25,1.0,NA,NA,NA,NA,1.0,-3.07546051044404,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v,i,n,k,vLetter,https://storage.googleapis.com/roar-ak/en/shared/vLetter.mp3,letterNameLower,1.0,-2.9088198452576,0.25,1.0,NA,NA,NA,NA,1.0,-2.9088198452576,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
w,a,s,n,wLetter,https://storage.googleapis.com/roar-ak/en/shared/wLetter.mp3,letterNameLower,1.0,-3.99080593864947,0.25,1.0,NA,NA,NA,NA,1.0,-3.99080593864947,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x,u,p,c,xLetter,https://storage.googleapis.com/roar-ak/en/shared/xLetter.mp3,letterNameLower,1.0,-2.60346350751368,0.25,1.0,NA,NA,NA,NA,1.0,-2.60346350751368,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
y,a,k,d,yLetter,https://storage.googleapis.com/roar-ak/en/shared/yLetter.mp3,letterNameLower,1.0,-3.02697154174814,0.25,1.0,NA,NA,NA,NA,1.0,-3.02697154174814,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
z,i,t,h,zedLetter,https://storage.googleapis.com/roar-ak/en/shared/zedLetter.mp3,letterNameLower,1.0,-3.28777080943247,0.25,1.0,NA,NA,NA,NA,1.0,-3.28777080943247,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,U,W,M,aLetter,https://storage.googleapis.com/roar-ak/en/shared/aLetter.mp3,letterNameUpper,1.0,-3.84953864245687,0.25,1.0,1.0,-3.84953864245687,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,O,D,H,bLetter,https://storage.googleapis.com/roar-ak/en/shared/bLetter.mp3,letterNameUpper,1.0,-2.54636528303276,0.25,1.0,1.0,-2.54636528303276,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,U,R,L,cLetter,https://storage.googleapis.com/roar-ak/en/shared/cLetter.mp3,letterNameUpper,1.0,-3.19701163826297,0.25,1.0,1.0,-3.19701163826297,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,A,J,F,dLetter,https://storage.googleapis.com/roar-ak/en/shared/dLetter.mp3,letterNameUpper,1.0,-3.17457252465565,0.25,1.0,1.0,-3.17457252465565,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,U,D,Z,eLetter,https://storage.googleapis.com/roar-ak/en/shared/eLetter.mp3,letterNameUpper,1.0,-2.49878603386068,0.25,1.0,1.0,-2.49878603386068,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,O,P,Q,fLetter,https://storage.googleapis.com/roar-ak/en/shared/fLetter.mp3,letterNameUpper,1.0,-2.52616177405087,0.25,1.0,1.0,-2.52616177405087,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,E,X,H,gLetter,https://storage.googleapis.com/roar-ak/en/shared/gLetter.mp3,letterNameUpper,1.0,-3.71509088004814,0.25,1.0,1.0,-3.71509088004814,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,U,G,W,hLetter,https://storage.googleapis.com/roar-ak/en/shared/hLetter.mp3,letterNameUpper,1.0,-2.79848927826138,0.25,1.0,1.0,-2.79848927826138,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I,U,T,B,iLetter,https://storage.googleapis.com/roar-ak/en/shared/iLetter.mp3,letterNameUpper,1.0,-3.16731340556369,0.25,1.0,1.0,-3.16731340556369,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,A,V,H,jLetter,https://storage.googleapis.com/roar-ak/en/shared/jLetter.mp3,letterNameUpper,1.0,-3.39128503279945,0.25,1.0,1.0,-3.39128503279945,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K,I,X,C,kLetter,https://storage.googleapis.com/roar-ak/en/shared/kLetter.mp3,letterNameUpper,1.0,-2.40170491163384,0.25,1.0,1.0,-2.40170491163384,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,I,M,X,lLetter,https://storage.googleapis.com/roar-ak/en/shared/lLetter.mp3,letterNameUpper,1.0,-3.92711342977291,0.25,1.0,1.0,-3.92711342977291,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M,A,X,K,mLetter,https://storage.googleapis.com/roar-ak/en/shared/mLetter.mp3,letterNameUpper,1.0,-2.74511518276024,0.25,1.0,1.0,-2.74511518276024,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,A,F,R,nLetter,https://storage.googleapis.com/roar-ak/en/shared/nLetter.mp3,letterNameUpper,1.0,-2.83398999216639,0.25,1.0,1.0,-2.83398999216639,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O,I,J,G,oLetter,https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3,letterNameUpper,1.0,-3.13149114872698,0.25,1.0,1.0,-3.13149114872698,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,A,Y,R,pLetter,https://storage.googleapis.com/roar-ak/en/shared/pLetter.mp3,letterNameUpper,1.0,-2.4268747599898,0.25,1.0,1.0,-2.4268747599898,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q,A,J,L,qLetter,https://storage.googleapis.com/roar-ak/en/shared/qLetter.mp3,letterNameUpper,1.0,-3.4659399231658,0.25,1.0,1.0,-3.4659399231658,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,E,W,P,rLetter,https://storage.googleapis.com/roar-ak/en/shared/rLetter.mp3,letterNameUpper,1.0,-3.73621982520898,0.25,1.0,1.0,-3.73621982520898,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,O,Q,Z,sLetter,https://storage.googleapis.com/roar-ak/en/shared/sLetter.mp3,letterNameUpper,1.0,-3.18242623896117,0.25,1.0,1.0,-3.18242623896117,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T,A,C,V,tLetter,https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3,letterNameUpper,1.0,-2.88286023715834,0.25,1.0,1.0,-2.88286023715834,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U,I,P,T,uLetter,https://storage.googleapis.com/roar-ak/en/shared/uLetter.mp3,letterNameUpper,1.0,-2.77403934439352,0.25,1.0,1.0,-2.77403934439352,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V,I,N,K,vLetter,https://storage.googleapis.com/roar-ak/en/shared/vLetter.mp3,letterNameUpper,1.0,-2.87119995022324,0.25,1.0,1.0,-2.87119995022324,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W,A,S,N,wLetter,https://storage.googleapis.com/roar-ak/en/shared/wLetter.mp3,letterNameUpper,1.0,-2.99909521909836,0.25,1.0,1.0,-2.99909521909836,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X,U,P,C,xLetter,https://storage.googleapis.com/roar-ak/en/shared/xLetter.mp3,letterNameUpper,1.0,-3.27953644321223,0.25,1.0,1.0,-3.27953644321223,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,A,K,D,yLetter,https://storage.googleapis.com/roar-ak/en/shared/yLetter.mp3,letterNameUpper,1.0,-3.19647019821927,0.25,1.0,1.0,-3.19647019821927,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Z,I,T,H,zedLetter,https://storage.googleapis.com/roar-ak/en/shared/zedLetter.mp3,letterNameUpper,1.0,-3.06465680767438,0.25,1.0,1.0,-3.06465680767438,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t,d,r,u,tPhoneme,https://storage.googleapis.com/roar-ak/en/shared/tPhoneme.mp3,letterPhonemePractice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.1064371033358,0.25,1.0
s,n,v,k,sPhoneme,https://storage.googleapis.com/roar-ak/en/shared/sPhoneme.mp3,letterPhonemePractice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.87978882551603,0.25,1.0
a,u,y,g,aShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/aShortPhoneme.mp3,letterPhoneme,1.0,-2.47973684724039,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-2.47973684724039,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
e,u,r,c,eShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/eShortPhoneme.mp3,letterPhoneme,1.0,-1.68246133984053,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.68246133984053,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
i,u,r,j,iShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/iShortPhoneme.mp3,letterPhoneme,1.0,-1.52552144221503,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.52552144221503,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
o,e,b,h,oShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/oShortPhoneme.mp3,letterPhoneme,1.0,-1.92837095618847,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.92837095618847,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
u,e,h,f,uShortPhoneme,https://storage.googleapis.com/roar-ak/en/shared/uShortPhoneme.mp3,letterPhoneme,1.0,-1.21642315352012,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.21642315352012,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
a,o,m,w,aLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/aLongPhoneme.mp3,letterPhoneme,1.0,-3.48501370950364,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-3.48501370950364,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
e,i,v,w,eLongPhoneme,https://storage.googleapis.com/roar-ak/en/shared/eLongPhoneme.mp3,letterPhoneme,1.0,-1.71080271782288,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,-1.71080271782288,0.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA
