target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
A,U,W,M,aLetter,https://storage.googleapis.com/roar-ak/en/shared/aLetter.mp3,1,0,0.5,1,letterNameUpper
B,O,D,H,bLetter,https://storage.googleapis.com/roar-ak/en/shared/bLetter.mp3,1,0,0.5,1,letterNameUpper
C,U,R,L,cLetter,https://storage.googleapis.com/roar-ak/en/shared/cLetter.mp3,1,0,0.5,1,letterNameUpper
D,A,J,F,dLetter,https://storage.googleapis.com/roar-ak/en/shared/dLetter.mp3,1,0,0.5,1,letterNameUpper
E,U,D,Z,eLetter,https://storage.googleapis.com/roar-ak/en/shared/eLetter.mp3,1,0,0.5,1,letterNameUpper
F,O,P,Q,fLetter,https://storage.googleapis.com/roar-ak/en/shared/fLetter.mp3,1,0,0.5,1,letterNameUpper
G,E,X,H,gLetter,https://storage.googleapis.com/roar-ak/en/shared/gLetter.mp3,1,0,0.5,1,letterNameUpper
H,U,G,W,hLetter,https://storage.googleapis.com/roar-ak/en/shared/hLetter.mp3,1,0,0.5,1,letterNameUpper
I,U,T,B,iLetter,https://storage.googleapis.com/roar-ak/en/shared/iLetter.mp3,1,0,0.5,1,letterNameUpper
J,A,V,H,jLetter,https://storage.googleapis.com/roar-ak/en/shared/jLetter.mp3,1,0,0.5,1,letterNameUpper
K,I,X,C,kLetter,https://storage.googleapis.com/roar-ak/en/shared/kLetter.mp3,1,0,0.5,1,letterNameUpper
L,I,M,X,lLetter,https://storage.googleapis.com/roar-ak/en/shared/lLetter.mp3,1,0,0.5,1,letterNameUpper
M,A,X,K,mLetter,https://storage.googleapis.com/roar-ak/en/shared/mLetter.mp3,1,0,0.5,1,letterNameUpper
N,A,F,R,nLetter,https://storage.googleapis.com/roar-ak/en/shared/nLetter.mp3,1,0,0.5,1,letterNameUpper
O,I,J,G,oLetter,https://storage.googleapis.com/roar-ak/en/shared/oLetter.mp3,1,0,0.5,1,letterNameUpper
P,A,Y,R,pLetter,https://storage.googleapis.com/roar-ak/en/shared/pLetter.mp3,1,0,0.5,1,letterNameUpper
Q,A,J,L,qLetter,https://storage.googleapis.com/roar-ak/en/shared/qLetter.mp3,1,0,0.5,1,letterNameUpper
R,E,W,P,rLetter,https://storage.googleapis.com/roar-ak/en/shared/rLetter.mp3,1,0,0.5,1,letterNameUpper
S,O,Q,Z,sLetter,https://storage.googleapis.com/roar-ak/en/shared/sLetter.mp3,1,0,0.5,1,letterNameUpper
T,A,C,V,tLetter,https://storage.googleapis.com/roar-ak/en/shared/tLetter.mp3,1,0,0.5,1,letterNameUpper
U,I,P,T,uLetter,https://storage.googleapis.com/roar-ak/en/shared/uLetter.mp3,1,0,0.5,1,letterNameUpper
V,I,N,K,vLetter,https://storage.googleapis.com/roar-ak/en/shared/vLetter.mp3,1,0,0.5,1,letterNameUpper
W,A,S,N,wLetter,https://storage.googleapis.com/roar-ak/en/shared/wLetter.mp3,1,0,0.5,1,letterNameUpper
X,U,P,C,xLetter,https://storage.googleapis.com/roar-ak/en/shared/xLetter.mp3,1,0,0.5,1,letterNameUpper
Y,A,K,D,yLetter,https://storage.googleapis.com/roar-ak/en/shared/yLetter.mp3,1,0,0.5,1,letterNameUpper
Z,I,T,H,zLetter,https://storage.googleapis.com/roar-ak/en/shared/zLetter.mp3,1,0,0.5,1,letterNameUpper
