,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source
0,zoss,zab,wass,teg,zoss,https://storage.googleapis.com/roar-ak/en/shared/zoss.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
1,meff,mav,noff,tib,meff,https://storage.googleapis.com/roar-ak/en/shared/meff.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
2,jad,jub,vid,dax,jad,https://storage.googleapis.com/roar-ak/en/shared/jad.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
3,kam,kug,zum,wug,kam,https://storage.googleapis.com/roar-ak/en/shared/kam.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
4,rozz,ren,jezz,vuff,rozz,https://storage.googleapis.com/roar-ak/en/shared/rozz.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
5,vot,vap,zut,dix,vot,https://storage.googleapis.com/roar-ak/en/shared/vot.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
6,cuzz,caff,sezz,kizz,cuzz,https://storage.googleapis.com/roar-ak/en/shared/cuzz.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
7,zuff,zir,taff,huzz,zuff,https://storage.googleapis.com/roar-ak/en/shared/zuff.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
8,yass,yim,kuss,quezz,yass,https://storage.googleapis.com/roar-ak/en/shared/yass.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
9,niv,noss,bov,kazz,niv,https://storage.googleapis.com/roar-ak/en/shared/niv.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
10,zock,zep,meck,rud,zock,https://storage.googleapis.com/roar-ak/en/shared/zock.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
11,juzz,jin,dizz,kov,juzz,https://storage.googleapis.com/roar-ak/en/shared/juzz.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
12,yog,yup,lig,sut,yog,https://storage.googleapis.com/roar-ak/en/shared/yog.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
13,nex,niss,bux,tazz,nex,https://storage.googleapis.com/roar-ak/en/shared/nex.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
14,wam,wozz,zim,lav,wam,https://storage.googleapis.com/roar-ak/en/shared/wam.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
15,bix,boff,wox,yizz,bix,https://storage.googleapis.com/roar-ak/en/shared/bix.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
16,tezz,tob,nuzz,dep,tezz,https://storage.googleapis.com/roar-ak/en/shared/tezz.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
17,naff,num,poff,zad,naff,https://storage.googleapis.com/roar-ak/en/shared/naff.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
18,guck,gazz,meck,zut,guck,https://storage.googleapis.com/roar-ak/en/shared/guck.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
19,zit,zuck,dat,lat,zit,https://storage.googleapis.com/roar-ak/en/shared/zit.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
20,pham,pholl,blem,cliss,pham,https://storage.googleapis.com/roar-ak/en/shared/pham.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
21,qued,quiss,drod,dret,qued,https://storage.googleapis.com/roar-ak/en/shared/qued.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
22,chot,chep,drit,stux,chot,https://storage.googleapis.com/roar-ak/en/shared/chot.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
23,quall,quozz,clill,blit,quall,https://storage.googleapis.com/roar-ak/en/shared/quall.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
24,whag,whok,gnug,drap,whag,https://storage.googleapis.com/roar-ak/en/shared/whag.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
25,thaff,thess,preff,skum,thaff,https://storage.googleapis.com/roar-ak/en/shared/thaff.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
26,gneff,gnuck,plaff,prid,gneff,https://storage.googleapis.com/roar-ak/en/shared/gneff.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
27,shuzz,sholl,smazz,flar,shuzz,https://storage.googleapis.com/roar-ak/en/shared/shuzz.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
28,shub,shey,chib,snit,shub,https://storage.googleapis.com/roar-ak/en/shared/shub.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
29,thock,thex,greck,slep,thock,https://storage.googleapis.com/roar-ak/en/shared/thock.mp3,1,0,0.25,1,phonics-2024-09-20-A,ylzhao
