itemId,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source,form,itemGroup,pattern,
cvc-1,jad,jub,vid,dax,jad,https://storage.googleapis.com/roar-ak/en/shared/jad.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,a,
cvc-2,naf,num,pof,zad,naff,https://storage.googleapis.com/roar-ak/en/shared/naff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,a,
cvc-3,nex,nis,bux,taz,nex,https://storage.googleapis.com/roar-ak/en/shared/nex.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,e,
cvc-4,niv,nos,bov,kaz,niv,https://storage.googleapis.com/roar-ak/en/shared/niv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,i,
cvc-5,cuz,caf,sez,kiz,cuzz,https://storage.googleapis.com/roar-ak/en/shared/cuzz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,o,
cvc-6,zok,zep,mek,rud,zock,https://storage.googleapis.com/roar-ak/en/shared/zock.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,u,
cvc-7,roz,ren,jez,vuf,rozz,https://storage.googleapis.com/roar-ak/en/shared/rozz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,a,
cvc-8,yas,yim,kus,kez,yass,https://storage.googleapis.com/roar-ak/en/shared/yass.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,e,
cvc-9,tez,tob,nuz,dep,tezz,https://storage.googleapis.com/roar-ak/en/shared/tezz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,i,
cvc-10,bix,bof,wox,yiz,bix,https://storage.googleapis.com/roar-ak/en/shared/bix.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,o,
cvc-11,vot,vap,zut,dix,vot,https://storage.googleapis.com/roar-ak/en/shared/vot.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,o,
cvc-12,guk,gaz,mek,zut,guck,https://storage.googleapis.com/roar-ak/en/shared/guck.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,u,
cvc-13,wam,woz,zim,lav,wam,https://storage.googleapis.com/roar-ak/en/shared/wam.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,a,
cvc-14,mef,mav,nof,tib,meff,https://storage.googleapis.com/roar-ak/en/shared/meff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,e,
cvc-15,zit,zuk,dat,lat,zit,https://storage.googleapis.com/roar-ak/en/shared/zit.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,i,
cvc-16,yog,yup,lig,sut,yog,https://storage.googleapis.com/roar-ak/en/shared/yog.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,o,
cvc-17,juz,jin,diz,kov,juzz,https://storage.googleapis.com/roar-ak/en/shared/juzz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,u,
cvc-18,zuf,zir,taf,huz,zuff,https://storage.googleapis.com/roar-ak/en/shared/zuff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,u,
cvc-19,kam,kug,zum,wug,kam,https://storage.googleapis.com/roar-ak/en/shared/kam.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,cvc,a,
cvc-20,zos,zab,vas,teg,zoss,https://storage.googleapis.com/roar-ak/en/shared/zoss.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,cvc,o,
digraph-1,chot,chep,drit,stux,chot,https://storage.googleapis.com/roar-ak/en/shared/chot.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,ch,
digraph-2,gnuss,gnok,fress,clum,gnuss,https://storage.googleapis.com/roar-ak/en/shared/gnuss.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,gn,
digraph-3,phack,pheb,sheck,swit,phack,https://storage.googleapis.com/roar-ak/en/shared/phack.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,ph,
digraph-4,qued,quiss,drod,dret,qued,https://storage.googleapis.com/roar-ak/en/shared/qued.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,qu,
digraph-5,shub,shey,chib,snit,shub,https://storage.googleapis.com/roar-ak/en/shared/shub.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,sh,
digraph-6,thaff,thess,preff,skum,thaff,https://storage.googleapis.com/roar-ak/en/shared/thaff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,th,
digraph-7,chog,chir,prag,glup,chog,https://storage.googleapis.com/roar-ak/en/shared/chog.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,ch,
digraph-8,gnid,gnozz,snad,spazz,gnid,https://storage.googleapis.com/roar-ak/en/shared/gnid.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,gn,
digraph-9,phad,phum,skud,slezz,phad,https://storage.googleapis.com/roar-ak/en/shared/phad.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,ph,
digraph-10,quall,quozz,clill,blit,quall,https://storage.googleapis.com/roar-ak/en/shared/quall.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,qu,
digraph-11,shuzz,sholl,smazz,flar,shuzz,https://storage.googleapis.com/roar-ak/en/shared/shuzz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,sh,
digraph-12,thock,thex,greck,slep,thock,https://storage.googleapis.com/roar-ak/en/shared/thock.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,digraph,th,
digraph-13,chuss,cheg,blass,crug,chuss,https://storage.googleapis.com/roar-ak/en/shared/chuss.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,ch,
digraph-14,gneff,gnuck,plaff,prid,gneff,https://storage.googleapis.com/roar-ak/en/shared/gneff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,gn,
digraph-15,pham,pholl,blem,cliss,pham,https://storage.googleapis.com/roar-ak/en/shared/pham.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,ph,
digraph-16,quezz,quass,slizz,slek,quezz,https://storage.googleapis.com/roar-ak/en/shared/quezz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,qu,
digraph-17,shex,shur,blix,plib,shex,https://storage.googleapis.com/roar-ak/en/shared/shex.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,sh,
digraph-18,whag,whok,gnug,drap,whag,https://storage.googleapis.com/roar-ak/en/shared/whag.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,digraph,wh,
digraph-19,choff,chet,smaff,swuss,choff,https://storage.googleapis.com/roar-ak/en/shared/choff.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,digraph,ch,
digraph-20,gnog,gnep,thag,brezz,gnog,https://storage.googleapis.com/roar-ak/en/shared/gnog.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,digraph,gn,
f-blend-1,roct,reld,lect,cupt,roct,https://storage.googleapis.com/roar-ak/en/shared/roct.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,ct,
f-blend-2,geft,gapt,zuft,tict,geft,https://storage.googleapis.com/roar-ak/en/shared/geft.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,ft,
f-blend-3,velk,vond,dolk,zump,velk,https://storage.googleapis.com/roar-ak/en/shared/velk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,lk,
f-blend-4,quomp,qipt,giomp,kasp,quomp,https://storage.googleapis.com/roar-ak/en/shared/quomp.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,mp,
f-blend-5,senk,sild,ponk,julk,senk,https://storage.googleapis.com/roar-ak/en/shared/senk.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,f-blend,nk,
