itemId,target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId,source,form,itemGroup,pattern,strategy
cvc-01,zos,zoc,zes,zec,zos,https://storage.googleapis.com/roar-ak/en/shared/zos.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,o,A
cvc-02,mef,hef,mof,hom,mef,https://storage.googleapis.com/roar-ak/en/shared/mef.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,e,B
cvc-03,jad,jaf,jod,jof,jad,https://storage.googleapis.com/roar-ak/en/shared/jad.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,a,A
cvc-04,kam,kap,kom,kop,kam,https://storage.googleapis.com/roar-ak/en/shared/kam.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,a,A
cvc-05,roz,moz,rez,mez,roz,https://storage.googleapis.com/roar-ak/en/shared/roz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,o,B
cvc-06,vot,vof,vit,vif,vot,https://storage.googleapis.com/roar-ak/en/shared/vot.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,cvc,o,A
cvc-07,gak,gal,guk,gul,gak,https://storage.googleapis.com/roar-ak/en/shared/gak.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,a,A
cvc-08,zuf,vuf,zaf,vuz,zuf,https://storage.googleapis.com/roar-ak/en/shared/zuf.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,u,B
cvc-09,yov,yow,yev,yew,yov,https://storage.googleapis.com/roar-ak/en/shared/yov.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,o,A
cvc-10,niv,nid,nav,nad,niv,https://storage.googleapis.com/roar-ak/en/shared/niv.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,i,A
cvc-11,zok,zol,zek,zel,zok,https://storage.googleapis.com/roar-ak/en/shared/zok.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,o,A
cvc-12,juz,puz,jez,puj,juz,https://storage.googleapis.com/roar-ak/en/shared/juz.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,B,cvc,u,B
cvc-13,yog,yod,yag,yad,yog,https://storage.googleapis.com/roar-ak/en/shared/yog.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,o,A
cvc-14,nex,nep,nox,nop,nex,https://storage.googleapis.com/roar-ak/en/shared/nex.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,e,A
cvc-15,wam,zam,wom,zom,wam,https://storage.googleapis.com/roar-ak/en/shared/wam.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,a,B
cvc-16,bix,jix,bax,jiv,bix,https://storage.googleapis.com/roar-ak/en/shared/bix.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,i,B
cvc-17,tez,cez,tuz,cet,tez,https://storage.googleapis.com/roar-ak/en/shared/tez.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,e,B
cvc-18,naf,nal,nof,nol,naf,https://storage.googleapis.com/roar-ak/en/shared/naf.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,C,cvc,a,A
cvc-19,fos,tos,fas,tof,fos,https://storage.googleapis.com/roar-ak/en/shared/fos.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,cvc,o,B
cvc-20,zec,vec,zoc,vez,zec,https://storage.googleapis.com/roar-ak/en/shared/zec.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,common,cvc,e,B
digraph-01,pham,pran,prun,phun,pham,https://storage.googleapis.com/roar-ak/en/shared/pham.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,ph,A
digraph-02,qued,keb,kad,quab,qued,https://storage.googleapis.com/roar-ak/en/shared/qued.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,qu,A
digraph-03,chab,hab,shab,sab,chab,https://storage.googleapis.com/roar-ak/en/shared/chab.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,ch,B
digraph-04,quog,gog,queg,geg,quog,https://storage.googleapis.com/roar-ak/en/shared/quog.mp3,1,0,0.25,1,textSoundPseudo,yeatmanlab,A,digraph,qu,C
