label,screenStyle,imageName,imageUrl,imageCharacter,imageAlt,audioName,audioUrl,audioLengthMs,buttonName,duration,header1,text1,text2
lettersIntro,captionBelowImage,pointingLionAge12,https://storage.googleapis.com/roar-ak/shared/pointingLionAge12.png,,ROAR lion,lettersIntro,https://storage.googleapis.com/roar-ak/en/shared/lettersIntro.mp3,5500,,,Welcome to ROAR-Letter!,"In this activity, you're going to help us find some letters.",
lettersIns,captionBelowImage,uPressLetter,https://storage.googleapis.com/roar-ak/shared/uPressLetter.webp,,Finger pressing 'u' key,lettersIns,https://storage.googleapis.com/roar-ak/en/shared/lettersIns.mp3,5000,,,Instructions,"When I say the name of a letter, your job is to find it on the screen and press it. ",
lettersIns2,captionBelowImage,screenLetterT,https://storage.googleapis.com/roar-ak/en/mobile/screenLetterT.png,,ROAR lion,lettersIns2,https://storage.googleapis.com/roar-ak/en/shared/lettersIns2.mp3,3000,,,Listen!,"For example, when you hear:",
lettersIns3,captionBelowImage,instructionsLetterT,https://storage.googleapis.com/roar-ak/en/mobile/instructionsLetterT.webp,,ROAR lion,lettersIns3,https://storage.googleapis.com/roar-ak/en/shared/lettersIns3.mp3,3000,,,Press on t!,You should press on the letter t.,
lettersIns4,captionBelowImage,screenLetterO,https://storage.googleapis.com/roar-ak/en/mobile/screenLetterO.png,,ROAR lion,lettersIns4,https://storage.googleapis.com/roar-ak/en/shared/lettersIns4.mp3,2500,,,Listen!,And when you hear:,
lettersIns5,captionBelowImage,instructionsLetterO,https://storage.googleapis.com/roar-ak/en/mobile/instructionsLetterO.webp,,ROAR lion,lettersIns5,https://storage.googleapis.com/roar-ak/en/shared/lettersIns5.mp3,2000,,,Press on o!,You should press on the letter o.,
lettersIns6,captionBelowImage,speakerPressAnimation,https://storage.googleapis.com/roar-ak/shared/speakerPressAnimation.webp,,Speaker press,lettersIns6,https://storage.googleapis.com/roar-ak/en/shared/lettersIns6.mp3,5000,,,Listen carefully!,"To hear the letter again, press the speaker button.",
lettersPractice,captionBelowImage,pointingLionAge12,https://storage.googleapis.com/roar-ak/shared/pointingLionAge12.png,,ROAR lion,lettersPractice,https://storage.googleapis.com/roar-ak/en/shared/lettersPractice.mp3,5000,,,Practice,"It's your turn to try. Remember, your job is to choose the letter you hear.",
lettersPostPractice,captionBelowImage,pointingLionAge12,https://storage.googleapis.com/roar-ak/shared/pointingLionAge12.png,,ROAR lion,lettersPostPractice,https://storage.googleapis.com/roar-ak/en/shared/lettersPostPractice.mp3,5000,,,Good work!,You're ready to try on your own. Remember to choose the letter you hear.,
lettersUppercaseTrans,captionBelowImage,pointingLionAge12,https://storage.googleapis.com/roar-ak/shared/pointingLionAge12.png,,ROAR lion,lettersUppercaseTrans,https://storage.googleapis.com/roar-ak/en/shared/lettersUppercaseTrans.mp3,3000,,,Uppercase letters,Let's do the same thing with uppercase letters!,
