target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
a,i,ñ,m,aLetter,https://storage.googleapis.com/roar-ak/es/shared/aLetter.mp3,1,0,0.5,1,letterNameLower
b,u,f,z,bLetter,https://storage.googleapis.com/roar-ak/es/shared/bLetter.mp3,1,0,0.5,1,letterNameLower
c,a,j,w,cLetter,https://storage.googleapis.com/roar-ak/es/shared/cLetter.mp3,1,0,0.5,1,letterNameLower
d,o,f,x,dLetter,https://storage.googleapis.com/roar-ak/es/shared/dLetter.mp3,1,0,0.5,1,letterNameLower
e,a,j,k,eLetter,https://storage.googleapis.com/roar-ak/es/shared/eLetter.mp3,1,0,0.5,1,letterNameLower
f,e,h,r,fLetter,https://storage.googleapis.com/roar-ak/es/shared/fLetter.mp3,1,0,0.5,1,letterNameLower
g,u,c,l,gLetter,https://storage.googleapis.com/roar-ak/es/shared/gLetter.mp3,1,0,0.5,1,letterNameLower
h,a,l,z,hLetter,https://storage.googleapis.com/roar-ak/es/shared/hLetter.mp3,1,0,0.5,1,letterNameLower
i,o,k,b,iLetter,https://storage.googleapis.com/roar-ak/es/shared/iLetter.mp3,1,0,0.5,1,letterNameLower
j,e,v,h,jLetter,https://storage.googleapis.com/roar-ak/es/shared/jLetter.mp3,1,0,0.5,1,letterNameLower
k,o,f,m,kLetter,https://storage.googleapis.com/roar-ak/es/shared/kLetter.mp3,1,0,0.5,1,letterNameLower
l,a,m,x,lLetter,https://storage.googleapis.com/roar-ak/es/shared/lLetter.mp3,1,0,0.5,1,letterNameLower
m,u,p,k,mLetter,https://storage.googleapis.com/roar-ak/es/shared/mLetter.mp3,1,0,0.5,1,letterNameLower
n,i,f,ñ,nLetter,https://storage.googleapis.com/roar-ak/es/shared/nLetter.mp3,1,0,0.5,1,letterNameLower
ñ,u,n,w,enieLetter,https://storage.googleapis.com/roar-ak/es/shared/enieLetter.mp3,1,0,0.5,1,letterNameLower
o,a,j,g,oLetter,https://storage.googleapis.com/roar-ak/es/shared/oLetter.mp3,1,0,0.5,1,letterNameLower
p,i,g,z,pLetter,https://storage.googleapis.com/roar-ak/es/shared/pLetter.mp3,1,0,0.5,1,letterNameLower
q,e,f,y,qLetter,https://storage.googleapis.com/roar-ak/es/shared/qLetter.mp3,1,0,0.5,1,letterNameLower
r,o,w,m,rLetter,https://storage.googleapis.com/roar-ak/es/shared/rLetter.mp3,1,0,0.5,1,letterNameLower
s,a,b,h,sLetter,https://storage.googleapis.com/roar-ak/es/shared/sLetter.mp3,1,0,0.5,1,letterNameLower
t,o,f,z,tLetter,https://storage.googleapis.com/roar-ak/es/shared/tLetter.mp3,1,0,0.5,1,letterNameLower
u,o,j,t,uLetter,https://storage.googleapis.com/roar-ak/es/shared/uLetter.mp3,1,0,0.5,1,letterNameLower
v,i,n,x,vLetter,https://storage.googleapis.com/roar-ak/es/shared/vLetter.mp3,1,0,0.5,1,letterNameLower
w,u,g,l,wLetter,https://storage.googleapis.com/roar-ak/es/shared/wLetter.mp3,1,0,0.5,1,letterNameLower
x,e,k,m,xLetter,https://storage.googleapis.com/roar-ak/es/shared/xLetter.mp3,1,0,0.5,1,letterNameLower
y,e,p,r,yLetter,https://storage.googleapis.com/roar-ak/es/shared/yLetter.mp3,1,0,0.5,1,letterNameLower
z,a,t,m,zLetter,https://storage.googleapis.com/roar-ak/es/shared/zLetter.mp3,1,0,0.5,1,letterNameLower
