target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
a,i,f,t,aPhoneme,https://storage.googleapis.com/roar-ak/es/shared/aPhoneme.mp3,1,0,0.25,1,letterPhoneme
á,o,j,x,a_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/a_tildePhoneme.mp3,1,0,0.25,1,letterPhoneme
b,e,g,z,bPhoneme,https://storage.googleapis.com/roar-ak/es/shared/bPhoneme.mp3,1,0,0.25,1,letterPhoneme
c,a,r,v,c_strongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/c_strongPhoneme.mp3,1,0,0.25,1,letterPhoneme
ca,a,fa,ta,caPhoneme,https://storage.googleapis.com/roar-ak/es/shared/caPhoneme.mp3,1,0,0.25,1,letterPhoneme
co,o,no,ro,coPhoneme,https://storage.googleapis.com/roar-ak/es/shared/coPhoneme.mp3,1,0,0.25,1,letterPhoneme
cu,u,ru,yu,cuPhoneme,https://storage.googleapis.com/roar-ak/es/shared/cuPhoneme.mp3,1,0,0.25,1,letterPhoneme
c,i,r,n,c_softPhoneme,https://storage.googleapis.com/roar-ak/es/shared/c_softPhoneme.mp3,1,0,0.25,1,letterPhoneme
ce,e,pe,ñe,cePhoneme,https://storage.googleapis.com/roar-ak/es/shared/cePhoneme.mp3,1,0,0.25,1,letterPhoneme
ci,i,mi,li,ciPhoneme,https://storage.googleapis.com/roar-ak/es/shared/ciPhoneme.mp3,1,0,0.25,1,letterPhoneme
ch,o,h,r,chPhoneme,https://storage.googleapis.com/roar-ak/es/shared/chPhoneme.mp3,1,0,0.25,1,letterPhoneme
d,u,k,j,dPhoneme,https://storage.googleapis.com/roar-ak/es/shared/dPhoneme.mp3,1,0,0.25,1,letterPhoneme
e,a,c,g,ePhoneme,https://storage.googleapis.com/roar-ak/es/shared/ePhoneme.mp3,1,0,0.25,1,letterPhoneme
é,u,x,h,e_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/e_tildePhoneme.mp3,1,0,0.25,1,letterPhoneme
ei,ao,le,pe,eiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/eiPhoneme.mp3,1,0,0.25,1,letterPhoneme
f,u,t,w,fPhoneme,https://storage.googleapis.com/roar-ak/es/shared/fPhoneme.mp3,1,0,0.25,1,letterPhoneme
g,o,l,ñ,g_strongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/g_strongPhoneme.mp3,1,0,0.25,1,letterPhoneme
ga,a,ta,pa,gaPhoneme,https://storage.googleapis.com/roar-ak/es/shared/gaPhoneme.mp3,1,0,0.25,1,letterPhoneme
go,o,mo,do,goPhoneme,https://storage.googleapis.com/roar-ak/es/shared/goPhoneme.mp3,1,0,0.25,1,letterPhoneme
gu,u,su,ru,guPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guPhoneme.mp3,1,0,0.25,1,letterPhoneme
g,o,l,n,g_softPhoneme,https://storage.googleapis.com/roar-ak/es/shared/g_softPhoneme.mp3,1,0,0.25,1,letterPhoneme
ge,e,pe,le,gePhoneme,https://storage.googleapis.com/roar-ak/es/shared/gePhoneme.mp3,1,0,0.25,1,letterPhoneme
gi,i,ti,fi,giPhoneme,https://storage.googleapis.com/roar-ak/es/shared/giPhoneme.mp3,1,0,0.25,1,letterPhoneme
gue,e,lue,mue,guePhoneme,https://storage.googleapis.com/roar-ak/es/shared/guePhoneme.mp3,1,0,0.25,1,letterPhoneme
gui,i,fui,sui,guiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guiPhoneme.mp3,1,0,0.25,1,letterPhoneme
güi,i,rui,mui,guuiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/guuiPhoneme.mp3,1,0,0.25,1,letterPhoneme
güe,e,rue,tue,guuePhoneme,https://storage.googleapis.com/roar-ak/es/shared/guuePhoneme.mp3,1,0,0.25,1,letterPhoneme
h,a,w,c,hPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hPhoneme.mp3,1,0,0.25,1,letterPhoneme
ha,o,ma,ta,haPhoneme,https://storage.googleapis.com/roar-ak/es/shared/haPhoneme.mp3,1,0,0.25,1,letterPhoneme
he,i,ne,re,hePhoneme,https://storage.googleapis.com/roar-ak/es/shared/hePhoneme.mp3,1,0,0.25,1,letterPhoneme
hi,e,li,si,hiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hiPhoneme.mp3,1,0,0.25,1,letterPhoneme
ho,u,po,fo,hoPhoneme,https://storage.googleapis.com/roar-ak/es/shared/hoPhoneme.mp3,1,0,0.25,1,letterPhoneme
hu,o,cu,du,huPhoneme,https://storage.googleapis.com/roar-ak/es/shared/huPhoneme.mp3,1,0,0.25,1,letterPhoneme
i,a,r,n,iPhoneme,https://storage.googleapis.com/roar-ak/es/shared/iPhoneme.mp3,1,0,0.25,1,letterPhoneme
í,e,k,g,i_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/i_tildePhoneme.mp3,1,0,0.25,1,letterPhoneme
ie,ei,mi,te,iePhoneme,https://storage.googleapis.com/roar-ak/es/shared/iePhoneme.mp3,1,0,0.25,1,letterPhoneme
j,i,b,f,jPhoneme,https://storage.googleapis.com/roar-ak/es/shared/jPhoneme.mp3,1,0,0.25,1,letterPhoneme
k,u,r,v,kPhoneme,https://storage.googleapis.com/roar-ak/es/shared/kPhoneme.mp3,1,0,0.25,1,letterPhoneme
l,e,b,t,lPhoneme,https://storage.googleapis.com/roar-ak/es/shared/lPhoneme.mp3,1,0,0.25,1,letterPhoneme
m,o,w,p,mPhoneme,https://storage.googleapis.com/roar-ak/es/shared/mPhoneme.mp3,1,0,0.25,1,letterPhoneme
n,i,c,d,nPhoneme,https://storage.googleapis.com/roar-ak/es/shared/nPhoneme.mp3,1,0,0.25,1,letterPhoneme
ñ,a,g,s,eniePhoneme,https://storage.googleapis.com/roar-ak/es/shared/eniePhoneme.mp3,1,0,0.25,1,letterPhoneme
o,e,j,f,oPhoneme,https://storage.googleapis.com/roar-ak/es/shared/oPhoneme.mp3,1,0,0.25,1,letterPhoneme
ó,e,p,j,o_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/o_tildePhoneme.mp3,1,0,0.25,1,letterPhoneme
p,a,t,m,pPhoneme,https://storage.googleapis.com/roar-ak/es/shared/pPhoneme.mp3,1,0,0.25,1,letterPhoneme
q,u,f,v,qPhoneme,https://storage.googleapis.com/roar-ak/es/shared/qPhoneme.mp3,1,0,0.25,1,letterPhoneme
que,ue,fue,mue,quePhoneme,https://storage.googleapis.com/roar-ak/es/shared/quePhoneme.mp3,1,0,0.25,1,letterPhoneme
qui,ui,lui,nui,quiPhoneme,https://storage.googleapis.com/roar-ak/es/shared/quiPhoneme.mp3,1,0,0.25,1,letterPhoneme
r,o,s,m,rSoftPhoneme,https://storage.googleapis.com/roar-ak/es/shared/rSoftPhoneme.mp3,1,0,0.25,1,letterPhoneme
rr,ie,ma,te,rStrongPhoneme,https://storage.googleapis.com/roar-ak/es/shared/rStrongPhoneme.mp3,1,0,0.25,1,letterPhoneme
s,a,n,x,sPhoneme,https://storage.googleapis.com/roar-ak/es/shared/sPhoneme.mp3,1,0,0.25,1,letterPhoneme
t,e,j,d,tPhoneme,https://storage.googleapis.com/roar-ak/es/shared/tPhoneme.mp3,1,0,0.25,1,letterPhoneme
u,o,j,q,uPhoneme,https://storage.googleapis.com/roar-ak/es/shared/uPhoneme.mp3,1,0,0.25,1,letterPhoneme
ú,i,pu,su,u_tildePhoneme,https://storage.googleapis.com/roar-ak/es/shared/u_tildePhoneme.mp3,1,0,0.25,1,letterPhoneme
ua,eo,fu,sa,uaPhoneme,https://storage.googleapis.com/roar-ak/es/shared/uaPhoneme.mp3,1,0,0.25,1,letterPhoneme
v,i,f,x,vPhoneme,https://storage.googleapis.com/roar-ak/es/shared/vPhoneme.mp3,1,0,0.25,1,letterPhoneme
w,e,z,q,wPhoneme,https://storage.googleapis.com/roar-ak/es/shared/wPhoneme.mp3,1,0,0.25,1,letterPhoneme
x,a,m,f,xPhoneme,https://storage.googleapis.com/roar-ak/es/shared/xPhoneme.mp3,1,0,0.25,1,letterPhoneme
y,i,c,p,yConsonantPhoneme,https://storage.googleapis.com/roar-ak/es/shared/yConsonantPhoneme.mp3,1,0,0.25,1,letterPhoneme
y,u,n,r,yVowelPhoneme,https://storage.googleapis.com/roar-ak/es/shared/yVowelPhoneme.mp3,1,0,0.25,1,letterPhoneme
z,u,j,k,zPhoneme,https://storage.googleapis.com/roar-ak/es/shared/zPhoneme.mp3,1,0,0.25,1,letterPhoneme
ll,e,l,s,llPhoneme,https://storage.googleapis.com/roar-ak/es/shared/llPhoneme.mp3,1,0,0.25,1,letterPhoneme
