label,screenStyle,imageName,imageUrl,imageCharacter,imageAlt,audioName,audioUrl,audioLengthMs,buttonName,duration,header1,text1,text2
lettersIntro,speechBubble,talkingLionWithBubble,https://storage.googleapis.com/roar-ak/shared/talkingLionWithBubble.gif,,ROAR lion,lettersIntro,https://storage.googleapis.com/roar-ak/es/shared/lettersIntro.mp3,7000,,,¡Bienvenido(a) a ROAR - Letra!,"En esta actividad, vas a ayudarnos a encontrar algunas letras.",
lettersIns,captionBelowImage,uPressLetter,https://storage.googleapis.com/roar-ak/shared/uPressLetter.gif,,Finger pressing 'u' key,lettersIns,https://storage.googleapis.com/roar-ak/es/shared/lettersIns.mp3,6000,,,Instrucciones,"Cuando yo diga el nombre de una letra, tu tarea será encontrarla en la pantalla y presionarla.",
lettersIns2,captionBelowImage,screenLetterT,https://storage.googleapis.com/roar-ak/en/mobile/screenLetterT.png,,ROAR lion,lettersIns2,https://storage.googleapis.com/roar-ak/es/shared/lettersIns2.mp3,3000,,,¡Escucha!,"Por ejemplo, cuando escuches:",
lettersIns3,captionBelowImage,instructionsLetterT,https://storage.googleapis.com/roar-ak/en/mobile/instructionsLetterT.gif,,ROAR lion,lettersIns3,https://storage.googleapis.com/roar-ak/es/shared/lettersIns3.mp3,4000,,,¡Presiona en t!,Haz clic con el mouse en el recuadro que tiene la letra t.,
lettersIns4,captionBelowImage,screenLetterO,https://storage.googleapis.com/roar-ak/en/mobile/screenLetterO.png,,ROAR lion,lettersIns4,https://storage.googleapis.com/roar-ak/es/shared/lettersIns4.mp3,2500,,,¡Escucha!,Y cuando escuches:,
lettersIns5,captionBelowImage,instructionsLetterO,https://storage.googleapis.com/roar-ak/en/mobile/instructionsLetterO.gif,,ROAR lion,lettersIns5,https://storage.googleapis.com/roar-ak/es/shared/lettersIns5.mp3,2000,,,¡Presiona en o!,Haz clic con el mouse en el recuadro que tiene la letra o.,
lettersIns6,captionBelowImage,speakerPressAnimation,https://storage.googleapis.com/roar-ak/shared/speakerPressAnimation.gif,,Speaker press,lettersIns6,https://storage.googleapis.com/roar-ak/es/shared/lettersIns6.mp3,7000,,,¡Escucha con atención!,"Para volver a escuchar la letra, presiona el botón de altavoz.",
lettersPractice,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,lettersPractice,https://storage.googleapis.com/roar-ak/es/shared/lettersPractice.mp3,7000,,,Práctica,"Ahora es tu turno para que lo intentes. Recuerda, tu tarea es encontrar la letra que escuchas.",
lettersPostPractice,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,lettersPostPractice,https://storage.googleapis.com/roar-ak/es/shared/lettersPostPractice.mp3,8500,,,¡Buen trabajo!,Estás listo(a) para intentarlo por ti mismo. Recuerda encontrar la letra que escuchas.,
lettersUppercaseTrans,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,lettersUppercaseTrans,https://storage.googleapis.com/roar-ak/es/shared/lettersUppercaseTrans.mp3,3000,,,Letras mayúsculas,¡Hagamos lo mismo con las letras mayúsculas!,
soundsIntro,speechBubble,talkingLionWithBubble,https://storage.googleapis.com/roar-ak/shared/talkingLionWithBubble.gif,,ROAR lion,soundsIntro,https://storage.googleapis.com/roar-ak/es/shared/soundsIntro.mp3,5000,,,¡Excelente trabajo!,"Ahora, vamos a hacer algo un poco diferente.",
soundsIns,captionBelowImage,uPressLetter,https://storage.googleapis.com/roar-ak/shared/uPressLetter.gif,,Finger pressing 'u' key,soundsIns,https://storage.googleapis.com/roar-ak/es/shared/soundsIns.mp3,8000,,,Instrucciones,"Voy a decir un sonido, y tu tarea es encontrar la letra o letras que puedan formar ese sonido.",
soundsIns2,captionBelowImage,screenLetterT,https://storage.googleapis.com/roar-ak/en/mobile/screenLetterT.png,,ROAR lion,soundsIns2,https://storage.googleapis.com/roar-ak/es/shared/soundsIns2.mp3,5000,,,¡Escucha!,"Por ejemplo, cuando escuches:",
soundsIns3,captionBelowImage,instructionsLetterT,https://storage.googleapis.com/roar-ak/en/mobile/instructionsLetterT.gif,,ROAR lion,soundsIns3,https://storage.googleapis.com/roar-ak/es/shared/soundsIns3.mp3,4000,,,¡Presiona en t!,Haz clic con el mouse en el recuadro que tiene la letra t.,
soundsIns4,captionBelowImage,screenLetterS,https://storage.googleapis.com/roar-ak/en/mobile/screenLetterS.png,,ROAR lion,soundsIns4,https://storage.googleapis.com/roar-ak/es/shared/soundsIns4.mp3,3000,,,¡Escucha!,Y cuando escuches:,
soundsIns5,captionBelowImage,instructionsLetterS,https://storage.googleapis.com/roar-ak/en/mobile/instructionsLetterS.gif,,ROAR lion,soundsIns5,https://storage.googleapis.com/roar-ak/es/shared/soundsIns5.mp3,300,,,¡Presiona en f!,Haz clic con el mouse en el recuadro que tiene la letra f.,
soundsIns6,captionBelowImage,speakerPressAnimation,https://storage.googleapis.com/roar-ak/shared/speakerPressAnimation.gif,,Speaker press,soundsIns6,https://storage.googleapis.com/roar-ak/es/shared/soundsIns6.mp3,6000,,,¡Escucha con atención!,"Para volver a escuchar el sonido, presiona el botón de altavoz.",
soundsPractice,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,soundsPractice,https://storage.googleapis.com/roar-ak/es/shared/soundsPractice.mp3,8500,,,Práctica,"Es tu turno de intentarlo. Recuerda, tu tarea es encontrar una letra que pueda formar el sonido.",
soundsPostPractice,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,soundsPostPractice,https://storage.googleapis.com/roar-ak/es/shared/soundsPostPractice.mp3,9000,,,¡Increíble!,Estás listo(a) para intentarlo por ti mismo. Recuerda elegir una letra que pueda formar el sonido.,
break1,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,trialBreak1AwesomeJob,https://storage.googleapis.com/roar-ak/es/shared/trialBreak1AwesomeJob.mp3,4000,,,¡Estás haciendo un trabajo increíble!,¡Sigue así!,
break2,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,trialBreak2WayToGo,https://storage.googleapis.com/roar-ak/es/shared/trialBreak2WayToGo.mp3,4500,,,¡Bien hecho!,¡Estás haciendo un trabajo fantástico!,
break3,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,break3,https://storage.googleapis.com/roar-ak/es/shared/break3.mp3,3000,,,¡Perfecto!,Sigamos adelante.,
break4,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,break4,https://storage.googleapis.com/roar-ak/es/shared/break4.mp3,4000,,,¡Increíble!,¡Eres un experto(a) en esto!,
break5,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,break5,https://storage.googleapis.com/roar-ak/es/shared/break5.mp3,4000,,,¡Fantástico!,¡Puedes lograrlo!,
lettersComplete,speechBubble,talkingLionWithBubble,https://storage.googleapis.com/roar-ak/shared/talkingLionWithBubble.gif,,ROAR lion,lettersComplete,https://storage.googleapis.com/roar-ak/es/shared/lettersComplete.mp3,7000,,,¡Felicidades!,¡Has terminado! ¡Gracias por ayudarme a encontrar esas letras!,
thatsRight,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,thatsRight,https://storage.googleapis.com/roar-ak/es/shared/thatsRight.mp3,1250,,,¡Correcto!,,
practiceTryAgain,captionBelowImage,talkingLionIpad,https://storage.googleapis.com/roar-ak/shared/talkingLionIpad.gif,,ROAR lion,tryAgain,https://storage.googleapis.com/roar-ak/es/shared/tryAgain.mp3,1000,,,Inténtalo de nuevo.,,
