target,distractor1,distractor2,distractor3,audioFile,audioUrl,composite.a,composite.b,composite.c,composite.d,letterNamePractice.a,letterNamePractice.b,letterNamePractice.c,letterNamePractice.d,letterNameLower.a,letterNameLower.b,letterNameLower.c,letterNameLower.d,letterNameUpper.a,letterNameUpper.b,letterNameUpper.c,letterNameUpper.d,letterPhonemePractice.a,letterPhonemePractice.b,letterPhonemePractice.c,letterPhonemePractice.d,letterPhoneme.a,letterPhoneme.b,letterPhoneme.c,letterPhoneme.d,corpusId
a,b,c,d,aLetter,https://storage.googleapis.com/roar-ak/it/shared/aLetter.mp3,NA,NA,NA,NA,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNamePractice
s,i,v,p,sLetter,https://storage.googleapis.com/roar-ak/it/shared/sLetter.mp3,NA,NA,NA,NA,1,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNamePractice
a,e,d,h,aLetter,https://storage.googleapis.com/roar-ak/it/shared/aLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
b,p,d,i,bLetter,https://storage.googleapis.com/roar-ak/it/shared/bLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
c,g,q,i,cLetter,https://storage.googleapis.com/roar-ak/it/shared/cLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
d,t,b,r,dLetter,https://storage.googleapis.com/roar-ak/it/shared/dLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
e,i,a,s,eLetter,https://storage.googleapis.com/roar-ak/it/shared/eLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
f,v,h,z,fLetter,https://storage.googleapis.com/roar-ak/it/shared/fLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
g,c,q,z,gLetter,https://storage.googleapis.com/roar-ak/it/shared/gLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
h,a,n,f,hLetter,https://storage.googleapis.com/roar-ak/it/shared/hLetter.mp3,1,0,0.5,1,NA,NA,NA,NA,1,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letterNameLower
