"","ageMonths",thetaEstimate,roarScore,standardScore,percentile
"1","72",-6.7,53,<65,<1
"2","72",-6.6,60,<65,<1
"3","72",-6.5,67,<65,<1
"4","72",-6.4,73,<65,<1
"5","72",-6.3,80,<65,<1
"6","72",-6.2,87,<65,<1
"7","72",-6.1,93,<65,<1
"8","72",-6,100,<65,<1
"9","72",-5.9,107,<65,<1
"10","72",-5.8,113,<65,<1
"11","72",-5.7,120,<65,<1
"12","72",-5.6,127,<65,<1
"13","72",-5.5,133,<65,<1
"14","72",-5.4,140,<65,<1
"15","72",-5.3,147,65,1
"16","72",-5.2,153,66,1
"17","72",-5.1,160,67,2
"18","72",-5,167,68,2
"19","72",-4.9,173,69,2
"20","72",-4.8,180,70,2
"21","72",-4.7,187,71,3
"22","72",-4.6,193,72,3
"23","72",-4.5,200,73,3
"24","72",-4.4,207,73,4
"25","72",-4.3,213,74,4
"26","72",-4.2,220,74,4
"27","72",-4.1,227,75,5
"28","72",-4,233,76,6
"29","72",-3.9,240,77,6
"30","72",-3.8,247,78,7
"31","72",-3.7,253,78,8
"32","72",-3.6,260,79,8
"33","72",-3.5,267,80,9
"34","72",-3.4,273,81,10
"35","72",-3.3,280,82,11
"36","72",-3.2,287,82,12
"37","72",-3.1,293,83,13
"38","72",-3,300,84,14
"39","72",-2.9,307,84,15
"40","72",-2.8,313,86,17
"41","72",-2.7,320,86,18
"42","72",-2.6,327,87,20
"43","72",-2.5,333,88,21
"44","72",-2.4,340,89,23
"45","72",-2.3,347,90,25
"46","72",-2.2,353,91,27
"47","72",-2.1,360,91,28
"48","72",-2,367,92,30
"49","72",-1.9,373,93,33
"50","72",-1.8,380,94,35
"51","72",-1.7,387,95,37
"52","72",-1.6,393,96,39
"53","72",-1.5,400,97,42
"54","72",-1.4,407,98,44
"55","72",-1.3,413,99,47
"56","72",-1.2,420,100,51
"57","72",-1.1,427,102,54
"58","72",-1,433,102,56
"59","72",-0.9,440,103,57
"60","72",-0.8,447,105,62
"61","72",-0.7,453,105,64
"62","72",-0.6,460,107,67
"63","72",-0.5,467,107,69
"64","72",-0.4,473,108,72
"65","72",-0.3,480,110,75
"66","72",-0.2,487,112,78
"67","72",-0.1,493,113,80
"68","72",0,500,114,82
"69","72",0.1,507,115,84
"70","72",0.2,513,116,86
"71","72",0.3,520,118,89
"72","72",0.4,527,119,90
"73","72",0.5,533,121,92
"74","72",0.6,540,122,93
"75","72",0.7,547,123,94
"76","72",0.8,553,125,95
"77","72",0.9,560,126,96
"78","72",1,567,128,97
"79","72",1.1,573,130,98
"80","72",1.2,580,131,98
"81","72",1.3,587,133,98
"82","72",1.4,593,135,99
"83","72",1.5,600,>135,>99
"84","72",1.6,607,>135,>99
"85","72",1.7,613,>135,>99
"86","72",1.8,620,>135,>99
"87","72",1.9,627,>135,>99
"88","72",2,633,>135,>99
"89","72",2.1,640,>135,>99
"90","72",2.2,647,>135,>99
"91","72",2.3,653,>135,>99
"92","72",2.4,660,>135,>99
"93","72",2.5,667,>135,>99
"94","72",2.6,673,>135,>99
"95","72",2.7,680,>135,>99
"96","72",2.8,687,>135,>99
"97","72",2.9,693,>135,>99
"98","72",3,700,>135,>99
"99","72",3.1,707,>135,>99
"100","72",3.2,713,>135,>99
"101","72",3.3,720,>135,>99
"102","72",3.4,727,>135,>99
"103","72",3.5,733,>135,>99
"104","72",3.6,740,>135,>99
"105","72",3.7,747,>135,>99
"106","72",3.8,753,>135,>99
"107","72",3.9,760,>135,>99
"108","72",4,767,>135,>99
"109","72",4.1,773,>135,>99
"110","72",4.2,780,>135,>99
"111","72",4.3,787,>135,>99
"112","72",4.4,793,>135,>99
"113","72",4.5,800,>135,>99
"114","73",-6.7,53,<65,<1
"115","73",-6.6,60,<65,<1
"116","73",-6.5,67,<65,<1
"117","73",-6.4,73,<65,<1
"118","73",-6.3,80,<65,<1
"119","73",-6.2,87,<65,<1
"120","73",-6.1,93,<65,<1
"121","73",-6,100,<65,<1
"122","73",-5.9,107,<65,<1
"123","73",-5.8,113,<65,<1
"124","73",-5.7,120,<65,<1
"125","73",-5.6,127,<65,<1
"126","73",-5.5,133,<65,<1
"127","73",-5.4,140,<65,<1
"128","73",-5.3,147,65,1
"129","73",-5.2,153,66,1
"130","73",-5.1,160,67,2
"131","73",-5,167,68,2
"132","73",-4.9,173,69,2
"133","73",-4.8,180,70,2
"134","73",-4.7,187,71,3
"135","73",-4.6,193,72,3
"136","73",-4.5,200,73,3
"137","73",-4.4,207,73,4
"138","73",-4.3,213,74,4
"139","73",-4.2,220,74,4
"140","73",-4.1,227,75,5
"141","73",-4,233,76,6
"142","73",-3.9,240,77,6
"143","73",-3.8,247,78,7
"144","73",-3.7,253,78,8
"145","73",-3.6,260,79,8
"146","73",-3.5,267,80,9
"147","73",-3.4,273,81,10
"148","73",-3.3,280,82,11
"149","73",-3.2,287,82,12
"150","73",-3.1,293,83,13
"151","73",-3,300,84,14
"152","73",-2.9,307,84,15
"153","73",-2.8,313,86,17
"154","73",-2.7,320,86,18
"155","73",-2.6,327,87,20
"156","73",-2.5,333,88,21
"157","73",-2.4,340,89,23
"158","73",-2.3,347,90,25
"159","73",-2.2,353,91,27
"160","73",-2.1,360,91,28
"161","73",-2,367,92,30
"162","73",-1.9,373,93,33
"163","73",-1.8,380,94,35
"164","73",-1.7,387,95,37
"165","73",-1.6,393,96,39
"166","73",-1.5,400,97,42
"167","73",-1.4,407,98,44
"168","73",-1.3,413,99,47
"169","73",-1.2,420,100,51
"170","73",-1.1,427,102,54
"171","73",-1,433,102,56
"172","73",-0.9,440,103,57
"173","73",-0.8,447,105,62
"174","73",-0.7,453,105,64
"175","73",-0.6,460,107,67
"176","73",-0.5,467,107,69
"177","73",-0.4,473,108,72
"178","73",-0.3,480,110,75
"179","73",-0.2,487,112,78
"180","73",-0.1,493,113,80
"181","73",0,500,114,82
"182","73",0.1,507,115,84
"183","73",0.2,513,116,86
"184","73",0.3,520,118,89
"185","73",0.4,527,119,90
"186","73",0.5,533,121,92
"187","73",0.6,540,122,93
"188","73",0.7,547,123,94
"189","73",0.8,553,125,95
"190","73",0.9,560,126,96
"191","73",1,567,128,97
"192","73",1.1,573,130,98
"193","73",1.2,580,131,98
"194","73",1.3,587,133,98
"195","73",1.4,593,135,99
"196","73",1.5,600,>135,>99
"197","73",1.6,607,>135,>99
"198","73",1.7,613,>135,>99
"199","73",1.8,620,>135,>99
"200","73",1.9,627,>135,>99
"201","73",2,633,>135,>99
"202","73",2.1,640,>135,>99
"203","73",2.2,647,>135,>99
"204","73",2.3,653,>135,>99
"205","73",2.4,660,>135,>99
"206","73",2.5,667,>135,>99
"207","73",2.6,673,>135,>99
"208","73",2.7,680,>135,>99
"209","73",2.8,687,>135,>99
"210","73",2.9,693,>135,>99
"211","73",3,700,>135,>99
"212","73",3.1,707,>135,>99
"213","73",3.2,713,>135,>99
"214","73",3.3,720,>135,>99
"215","73",3.4,727,>135,>99
"216","73",3.5,733,>135,>99
"217","73",3.6,740,>135,>99
"218","73",3.7,747,>135,>99
"219","73",3.8,753,>135,>99
"220","73",3.9,760,>135,>99
