"","word","a","b","c","d","corpusId","realpseudo"
"1","arp",1,-2.2014,0.5,1,"en-validated-v4-infinite","pseudo"
"2","ask",1,-2.0806,0.5,1,"en-validated-v4-infinite","real"
"3","baby",1,-3.145,0.5,1,"en-validated-v4-infinite","real"
"4","beas",1,0.1427,0.5,1,"en-validated-v4-infinite","pseudo"
"5","because",1,-3.168,0.5,1,"en-validated-v4-infinite","real"
"6","bed",1,-2.4694,0.5,1,"en-validated-v4-infinite","real"
"7","behind",1,-1.3592,0.5,1,"en-validated-v4-infinite","real"
"8","beir",1,-1.2995,0.5,1,"en-validated-v4-infinite","pseudo"
"9","bep",1,-0.9367,0.5,1,"en-validated-v4-infinite","pseudo"
"10","big",1,-3.2793,0.5,1,"en-validated-v4-infinite","real"
"11","bir",1,-2.2117,0.5,1,"en-validated-v4-infinite","pseudo"
"12","bird",1,-2.4632,0.5,1,"en-validated-v4-infinite","real"
"13","blue",1,-3.2158,0.5,1,"en-validated-v4-infinite","real"
"14","boc",1,-2.5097,0.5,1,"en-validated-v4-infinite","pseudo"
"15","bok",1,-2.224,0.5,1,"en-validated-v4-infinite","pseudo"
"16","book",1,-3.7253,0.5,1,"en-validated-v4-infinite","real"
"17","box",1,-2.2561,0.5,1,"en-validated-v4-infinite","real"
"18","boy",1,-3.0271,0.5,1,"en-validated-v4-infinite","real"
"19","bqxf",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"20","bqzwx",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"21","bunny",1,-2.7521,0.5,1,"en-validated-v4-infinite","real"
"22","cales",1,0.3012,0.5,1,"en-validated-v4-infinite","pseudo"
"23","capy",1,-0.2,0.5,1,"en-validated-v4-infinite","pseudo"
"24","catch",1,-2.0746,0.5,1,"en-validated-v4-infinite","real"
"25","chrodgmas",1,-1.3523,0.5,1,"en-validated-v4-infinite","pseudo"
"26","coff",1,-0.4385,0.5,1,"en-validated-v4-infinite","pseudo"
"27","coom",1,-1.4888,0.5,1,"en-validated-v4-infinite","pseudo"
"28","cound",1,0.6255,0.5,1,"en-validated-v4-infinite","pseudo"
"29","cxp",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"30","cxvqh",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"31","dard",1,-1.5313,0.5,1,"en-validated-v4-infinite","pseudo"
"32","dark",1,-2.0969,0.5,1,"en-validated-v4-infinite","real"
"33","day",1,-2.6948,0.5,1,"en-validated-v4-infinite","real"
"34","dhrq",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"35","dier",1,-0.0906,0.5,1,"en-validated-v4-infinite","pseudo"
"36","door",1,-2.3738,0.5,1,"en-validated-v4-infinite","real"
"37","dorn",1,0.3673,0.5,1,"en-validated-v4-infinite","pseudo"
"38","dxt",1,-4,0.5,1,"en-validated-v4-infinite","pseudo"
"39","ead",1,-2.0062,0.5,1,"en-validated-v4-infinite","pseudo"
"40","eaks",1,-2.1235,0.5,1,"en-validated-v4-infinite","pseudo"
"41","eat",1,-2.3711,0.5,1,"en-validated-v4-infinite","real"
"42","ecd",1,-3.0769,0.5,1,"en-validated-v4-infinite","pseudo"
"43","end",1,-2.3688,0.5,1,"en-validated-v4-infinite","real"
"44","ent",1,-2.1734,0.5,1,"en-validated-v4-infinite","pseudo"
"45","ethlyots",1,-1.2042,0.5,1,"en-validated-v4-infinite","pseudo"
"46","everything",1,-2.7305,0.5,1,"en-validated-v4-infinite","real"
"47","face",1,-2.3233,0.5,1,"en-validated-v4-infinite","real"
"48","far",1,-1.3126,0.5,1,"en-validated-v4-infinite","real"
"49","feir",1,-0.2755,0.5,1,"en-validated-v4-infinite","pseudo"
"50","fet",1,-0.4088,0.5,1,"en-validated-v4-infinite","pseudo"
"51","fice",1,-0.4602,0.5,1,"en-validated-v4-infinite","pseudo"
"52","firrs",1,-2.2652,0.5,1,"en-validated-v4-infinite","pseudo"
"53","first",1,-2.9306,0.5,1,"en-validated-v4-infinite","real"
"54","fli",1,-1.8823,0.5,1,"en-validated-v4-infinite","pseudo"
"55","fly",1,-2.316,0.5,1,"en-validated-v4-infinite","real"
"56","fom",1,-1.3313,0.5,1,"en-validated-v4-infinite","pseudo"
"57","food",1,-2.8764,0.5,1,"en-validated-v4-infinite","real"
"58","for",1,-2.4767,0.5,1,"en-validated-v4-infinite","real"
"59","four",1,-2.2135,0.5,1,"en-validated-v4-infinite","real"
"60","frere",1,-1.5653,0.5,1,"en-validated-v4-infinite","pseudo"
"61","frieks",1,-1.2176,0.5,1,"en-validated-v4-infinite","pseudo"
"62","friend",1,-2.327,0.5,1,"en-validated-v4-infinite","real"
"63","full",1,-2.7454,0.5,1,"en-validated-v4-infinite","real"
"64","fure",1,0.2003,0.5,1,"en-validated-v4-infinite","pseudo"
"65","galer",1,-0.865,0.5,1,"en-validated-v4-infinite","pseudo"
"66","get",1,-2.8933,0.5,1,"en-validated-v4-infinite","real"
