,word,b_i,realpseudo,block,order,log_difficulty
0,ef,-2.52240744274023,pseudo,A,53,2.116123702709268
1,ggnoi,-2.37226639435118,pseudo,A,48,2.097866379983242
2,uoy,-1.94599122451197,pseudo,A,39,2.044136826741836
3,inni,-1.87577059176598,pseudo,A,43,2.035002228788894
4,ip,-1.8653239160176,pseudo,A,54,2.0336361225058015
5,om,-1.79983187810685,pseudo,A,41,2.0250289751928783
6,ujst,-1.50994728458699,pseudo,A,42,1.9860158926477145
7,nulch,-1.38669685923848,pseudo,A,83,1.9689561730655498
8,tfaer,-1.28275785774542,pseudo,A,57,1.9543397267988742
9,stenil,-0.987362747053584,pseudo,A,82,1.9115939305364018
10,hus,-0.976003509015854,pseudo,A,68,1.9099131173846333
11,ginth,-0.972582549545651,pseudo,A,84,1.9094063679933244
12,loms,-0.939144504086843,pseudo,A,60,1.9044395950207162
13,fattify,-0.9160197856811,pseudo,A,67,1.9009902419696505
14,tis,-0.853143828823157,pseudo,A,81,1.8915508687778793
15,losh,-0.843468416663938,pseudo,A,59,1.890090385895735
16,nied,-0.723504827345677,pseudo,A,61,1.8718027024909758
17,cibsus,-0.713295908260244,pseudo,A,55,1.87023086569178
18,beeltisul,-0.708090359266928,pseudo,A,63,1.8694284307561233
19,nop,-0.697635415862355,pseudo,A,72,1.8678148542160877
20,crit,-0.448770830287798,pseudo,A,52,1.8286167216188718
21,strosh,-0.444126715245221,pseudo,A,70,1.8278704329250828
22,fror,-0.383513076590886,pseudo,A,40,1.8180786713061525
23,ancrusinishness,-0.378155298254808,pseudo,A,51,1.817208525275608
24,slellen,-0.310908683057613,pseudo,A,56,1.8062222557742253
25,cuppom,-0.249557131531022,pseudo,A,50,1.7960926873492693
26,blans,-0.172692894440063,pseudo,A,47,1.7832553251858767
27,sudsage,-0.0950609875728365,pseudo,A,65,1.770120284507288
28,sint,0.0231597890062526,pseudo,A,62,1.749780347157051
29,bulbet,0.13155405673916,pseudo,A,66,1.730760371556372
30,bledge,0.148715645488415,pseudo,A,49,1.7277155712549963
31,arsher,0.199107246820322,pseudo,A,46,1.7187211656764068
32,trull,0.199485766666622,pseudo,A,73,1.71865329654761
33,trood,0.347632847742726,pseudo,A,58,1.6917302246936885
34,leld,0.459859074627751,pseudo,A,45,1.6708414335324873
35,telechinct,0.721484581300935,pseudo,A,64,1.6203806235240426
36,groon,0.920566011230958,pseudo,A,69,1.5802011693435236
37,coth,1.01447564298406,pseudo,A,71,1.5606725666171442
38,hust,1.32409824663803,pseudo,A,74,1.493443353527639
39,wared,2.35890486011944,pseudo,A,44,1.2289367153896302
40,streat,3.18556262259656,pseudo,A,75,0.9520191874149355
41,bads,4.77649858898622,pseudo,A,76,0.0
42,play,-3.26204565937892,real,A,1,2.2014981269637595
43,miss,-2.40320441170933,real,A,3,2.1016558419720757
44,will,-2.29141668551379,real,A,17,2.087895118611442
45,become,-2.16562069172658,real,A,5,2.072180151572957
46,sun,-2.06973032329027,real,A,6,2.0600330230278936
47,night,-2.00524149206694,real,A,80,2.0517799739856994
48,black,-1.88036530851522,real,A,4,2.0356024870613534
49,from,-1.85993811943751,real,A,25,2.032931094959411
50,lunch,-1.85580060794126,real,A,79,2.0323891363292836
51,faster,-1.77139104339659,real,A,30,2.021268005298553
52,back,-1.7002547303664,real,A,10,2.011798649545302
53,without,-1.65536353099023,real,A,11,2.0057764491296006
54,library,-1.60065177245303,real,A,24,1.9983874341587604
55,best,-1.50727798618776,real,A,18,1.9856494880250697
56,inside,-1.42830261890747,real,A,28,1.974747638216401
57,them,-1.33251782177837,real,A,22,1.9613638953937729
58,mystery,-1.27069153890542,real,A,31,1.9526289739570415
59,answer,-1.26140479351202,real,A,20,1.951310310828216
60,listen,-1.16647049394298,real,A,78,1.9377295047768057
61,brought,-0.978953505307702,real,A,15,1.9103498965292398
62,waves,-0.95089923550755,real,A,23,1.906188415765762
63,once,-0.949438737044572,real,A,35,1.9059712951109393
