word,a,b,c,d,corpusId,realpseudo
advice,1,-0.7046875000000024,0.5,1,corpusNew,real
advole,1,-0.018750000000001793,0.5,1,corpusNew,pseudo
ahriered,1,-0.9515625000000026,0.5,1,corpusNew,pseudo
aits,1,-1.2195312500000026,0.5,1,corpusNew,pseudo
audience,1,0.011718749999998234,0.5,1,corpusNew,real
aunt,1,-0.17343750000000194,0.5,1,corpusNew,real
baby,1,-2.642187500000004,0.5,1,corpusNew,real
babysitter,1,-2.0007812500000037,0.5,1,corpusNew,real
baff,1,-0.3898437500000021,0.5,1,corpusNew,pseudo
bahysitral,1,-1.3125000000000029,0.5,1,corpusNew,pseudo
bath,1,-1.4523437500000032,0.5,1,corpusNew,real
beads,1,-0.5132812500000021,0.5,1,corpusNew,real
bear,1,-1.6593750000000032,0.5,1,corpusNew,real
bebill,1,-1.3265625000000028,0.5,1,corpusNew,pseudo
becge,1,-1.625781250000003,0.5,1,corpusNew,pseudo
belly,1,-1.434375000000003,0.5,1,corpusNew,real
bench,1,-1.3250000000000028,0.5,1,corpusNew,real
beside,1,-1.0570312500000025,0.5,1,corpusNew,real
bicycle,1,-1.2953125000000028,0.5,1,corpusNew,real
bield,1,-0.4351562500000022,0.5,1,corpusNew,pseudo
bimygra,1,-1.617968750000003,0.5,1,corpusNew,pseudo
blaw,1,-0.20312500000000194,0.5,1,corpusNew,pseudo
blow,1,-1.242187500000003,0.5,1,corpusNew,real
boat,1,-1.5750000000000033,0.5,1,corpusNew,real
boods,1,0.3570312499999985,0.5,1,corpusNew,pseudo
borm,1,0.11718749999999833,0.5,1,corpusNew,pseudo
bour,1,-0.9601562500000025,0.5,1,corpusNew,pseudo
bowl,1,-0.7335937500000025,0.5,1,corpusNew,real
bragon,1,0.23124999999999843,0.5,1,corpusNew,pseudo
brap,1,-0.6390625000000024,0.5,1,corpusNew,pseudo
build,1,-1.9093750000000034,0.5,1,corpusNew,real
buit,1,0.885937499999999,0.5,1,corpusNew,pseudo
buk,1,-1.415625000000003,0.5,1,corpusNew,pseudo
bullon,1,0.4328124999999986,0.5,1,corpusNew,pseudo
button,1,-1.8109375000000032,0.5,1,corpusNew,real
buy,1,-2.088281250000004,0.5,1,corpusNew,real
camed,1,0.6499999999999988,0.5,1,corpusNew,pseudo
camera,1,-2.1320312500000034,0.5,1,corpusNew,real
canty,1,-0.7031250000000024,0.5,1,corpusNew,pseudo
cany,1,-0.3984375000000021,0.5,1,corpusNew,pseudo
carry,1,-1.344531250000003,0.5,1,corpusNew,real
case,1,-1.4437500000000032,0.5,1,corpusNew,real
casi,1,-1.7593750000000032,0.5,1,corpusNew,pseudo
catch,1,-2.2453125000000034,0.5,1,corpusNew,real
censtel,1,-0.1453125000000019,0.5,1,corpusNew,pseudo
central,1,-0.6140625000000023,0.5,1,corpusNew,real
