"","word","a","b","c","d","corpusId","realpseudo"
"1","knelt",1,0,0.5,1,"corpusNew","real"
"2","knob",1,0,0.5,1,"corpusNew","real"
"3","nervousness",1,0,0.5,1,"corpusNew","real"
"4","parachute",1,0,0.5,1,"corpusNew","real"
"5","refreshment",1,0,0.5,1,"corpusNew","real"
"6","reuse",1,0,0.5,1,"corpusNew","real"
"7","rhythm",1,0,0.5,1,"corpusNew","real"
"8","sigh",1,0,0.5,1,"corpusNew","real"
"9","straightening",1,0,0.5,1,"corpusNew","real"
"10","substituting",1,0,0.5,1,"corpusNew","real"
"11","surprise",1,0,0.5,1,"corpusNew","real"
"12","trough",1,0,0.5,1,"corpusNew","real"
"13","truthfulness",1,0,0.5,1,"corpusNew","real"
"14","twelfth",1,0,0.5,1,"corpusNew","real"
"15","unbeatable",1,0,0.5,1,"corpusNew","real"
"16","uncomfortable",1,0,0.5,1,"corpusNew","real"
"17","wrist",1,0,0.5,1,"corpusNew","real"
"18","announcement",1,0,0.5,1,"corpusNew","real"
"19","argue",1,0,0.5,1,"corpusNew","real"
"20","assignment",1,0,0.5,1,"corpusNew","real"
"21","awesome",1,0,0.5,1,"corpusNew","real"
"22","awful",1,0,0.5,1,"corpusNew","real"
"23","beneath",1,0,0.5,1,"corpusNew","real"
"24","ache",1,0,0.5,1,"corpusNew","real"
"25","dishonesty",1,0,0.5,1,"corpusNew","real"
"26","flour",1,0,0.5,1,"corpusNew","real"
"27","forgetfulness",1,0,0.5,1,"corpusNew","real"
"28","friendliness",1,0,0.5,1,"corpusNew","real"
"29","heaviness",1,0,0.5,1,"corpusNew","real"
"30","beascient",1,0,0.5,1,"corpusNew","pseudo"
"31","bloodsefully",1,0,0.5,1,"corpusNew","pseudo"
"32","broor",1,0,0.5,1,"corpusNew","pseudo"
"33","celegeour",1,0,0.5,1,"corpusNew","pseudo"
"34","chenteen",1,0,0.5,1,"corpusNew","pseudo"
"35","chetion",1,0,0.5,1,"corpusNew","pseudo"
"36","chrost",1,0,0.5,1,"corpusNew","pseudo"
"37","clidine",1,0,0.5,1,"corpusNew","pseudo"
"38","conchen",1,0,0.5,1,"corpusNew","pseudo"
"39","confrous",1,0,0.5,1,"corpusNew","pseudo"
"40","docidly",1,0,0.5,1,"corpusNew","pseudo"
"41","feem",1,0,0.5,1,"corpusNew","pseudo"
"42","fictine",1,0,0.5,1,"corpusNew","pseudo"
"43","garrow",1,0,0.5,1,"corpusNew","pseudo"
"44","hortly",1,0,0.5,1,"corpusNew","pseudo"
"45","jeacter",1,0,0.5,1,"corpusNew","pseudo"
"46","lawlage",1,0,0.5,1,"corpusNew","pseudo"
"47","nuccest",1,0,0.5,1,"corpusNew","pseudo"
"48","opplish",1,0,0.5,1,"corpusNew","pseudo"
"49","spentary",1,0,0.5,1,"corpusNew","pseudo"
"50","teaditore",1,0,0.5,1,"corpusNew","pseudo"
"51","thich",1,0,0.5,1,"corpusNew","pseudo"
"52","thip",1,0,0.5,1,"corpusNew","pseudo"
"53","twenality",1,0,0.5,1,"corpusNew","pseudo"
"54","socturse",1,0,0.5,1,"corpusNew","pseudo"
"55","admic",1,0,0.5,1,"corpusNew","pseudo"
"56","adorge",1,0,0.5,1,"corpusNew","pseudo"
"57","caund",1,0,0.5,1,"corpusNew","pseudo"
"58","devernmeted",1,0,0.5,1,"corpusNew","pseudo"
"59","durper",1,0,0.5,1,"corpusNew","pseudo"
