word,a,b,c,d,corpusId,realpseudo
abuela,1,-1.86022389516574,0.5,1,spanish-core,real
amar,1,-0.993715355352441,0.5,1,spanish-random,real
ambigéxodo,1,0.180334992152479,0.5,1,spanish-random,pseudo
amerillo,1,0.489766650329131,0.5,1,spanish-core,pseudo
apiela,1,-0.478865479046113,0.5,1,spanish-core,pseudo
asustado,1,-0.665219798594623,0.5,1,spanish-core,real
aving,1,-1.04461552887767,0.5,1,spanish-core,pseudo
bailar,1,-1.60275639904876,0.5,1,spanish-core,real
baqarse,1,-0.583720997401434,0.5,1,spanish-random,pseudo
barco,1,-2.2023502198983,0.5,1,spanish-random,real
bañarse,1,-0.883763208924646,0.5,1,spanish-random,real
beber,1,-1.27113450676322,0.5,1,spanish-core,real
café,1,-2.13684954249086,0.5,1,spanish-core,real
calle,1,-1.75710544507063,0.5,1,spanish-core,real
caluiste,1,-0.189440286299734,0.5,1,spanish-core,pseudo
caminar,1,-1.61240913679008,0.5,1,spanish-core,real
cantante,1,-0.903851518308024,0.5,1,spanish-core,real
carne,1,-1.61619063074998,0.5,1,spanish-core,real
cepillar,1,-0.601731924779006,0.5,1,spanish-core,real
ciudad,1,-1.45475633673197,0.5,1,spanish-core,real
cocinero,1,-0.722829245037952,0.5,1,spanish-core,real
comida,1,-1.88425214855967,0.5,1,spanish-core,real
comprar,1,-1.71845410295581,0.5,1,spanish-core,real
coraján,1,0.24743629707516,0.5,1,spanish-core,pseudo
corto,1,-0.911824130898,0.5,1,spanish-random,real
crutas,1,-0.103120574043507,0.5,1,spanish-core,pseudo
cuamerno,1,0.201814224256102,0.5,1,spanish-core,pseudo
cumpleaños,1,-1.33597063408231,0.5,1,spanish-random,real
didertido,1,1.26893734059829,0.5,1,spanish-core,pseudo
dinero,1,-1.84549696439248,0.5,1,spanish-core,real
dintaña,1,-0.341209890121679,0.5,1,spanish-core,pseudo
disero,1,-0.0156590103965924,0.5,1,spanish-core,pseudo
dúsica,1,-0.479020839317825,0.5,1,spanish-core,pseudo
eceñante,1,0.568457121945209,0.5,1,spanish-random,pseudo
ensalada,1,-0.0244933170262936,0.5,1,spanish-core,real
envecada,1,0.480709900997519,0.5,1,spanish-core,pseudo
escrella,1,0.690136452691099,0.5,1,spanish-core,pseudo
esfribir,1,0.139253293010066,0.5,1,spanish-random,pseudo
estudiante,1,-1.39649498934565,0.5,1,spanish-core,real
estudiar,1,-1.70781945301235,0.5,1,spanish-random,real
estudueso,1,0.56217322440062,0.5,1,spanish-random,pseudo
etsuriod,1,-0.612721406355899,0.5,1,spanish-core,pseudo
felado,1,-0.505904574850131,0.5,1,spanish-random,pseudo
feo,1,-1.99426252489638,0.5,1,spanish-random,real
flor,1,-1.49000870984368,0.5,1,spanish-core,real
fren,1,-0.367422941427254,0.5,1,spanish-core,pseudo
frutas,1,-1.85834676650754,0.5,1,spanish-random,real
gasce,1,-0.0624782185871957,0.5,1,spanish-core,pseudo
grande,1,-1.79371177893042,0.5,1,spanish-core,real
grocolate,1,-0.366102772478873,0.5,1,spanish-core,pseudo
grúcido,1,0.260227442871001,0.5,1,spanish-random,pseudo
hacaciones,1,0.3257763561953,0.5,1,spanish-random,pseudo
hermana,1,-1.67104539425883,0.5,1,spanish-core,real
hompital,1,0.306277413331417,0.5,1,spanish-core,pseudo
hospital,1,-1.47878365848865,0.5,1,spanish-core,real
huro,1,-0.405466404692481,0.5,1,spanish-core,pseudo
hácil,1,-0.0190830689415977,0.5,1,spanish-core,pseudo
insecto,1,-0.474456110260413,0.5,1,spanish-core,real
intecesante,1,1.97123561452833,0.5,1,spanish-core,pseudo
jardán,1,0.238410326434692,0.5,1,spanish-core,pseudo
joyas,1,0.0663432910851496,0.5,1,spanish-core,real
jugo,1,-1.19060835874608,0.5,1,spanish-random,real
largo,1,-1.79952949880415,0.5,1,spanish-random,real
leche,1,-1.96523295524033,0.5,1,spanish-random,real
lestido,1,-0.115301651070014,0.5,1,spanish-core,pseudo
lexicano,1,-0.363498799735293,0.5,1,spanish-random,pseudo
librería,1,-0.268932053124707,0.5,1,spanish-random,real
limpiar,1,-1.71730901157772,0.5,1,spanish-core,real
linto,1,0.028234398249811,0.5,1,spanish-random,pseudo
menco,1,-0.372471026862947,0.5,1,spanish-random,pseudo
