word,realpseudo,a,b,c,d,corpusId
casa,real,1,0,0.5,1,spanish-random
perro,real,1,0,0.5,1,spanish-random
mesa,real,1,0,0.5,1,spanish-random
silla,real,1,0,0.5,1,spanish-random
niño,real,1,0,0.5,1,spanish-random
padre,real,1,0,0.5,1,spanish-random
jugar,real,1,0,0.5,1,spanish-random
bailar,real,1,0,0.5,1,spanish-core
amar,real,1,0,0.5,1,spanish-random
grande,real,1,0,0.5,1,spanish-core
pequeño,real,1,0,0.5,1,spanish-random
rápido,real,1,0,0.5,1,spanish-random
lento,real,1,0,0.5,1,spanish-random
alto,real,1,0,0.5,1,spanish-random
bajo,real,1,0,0.5,1,spanish-random
triste,real,1,0,0.5,1,spanish-core
rojo,real,1,0,0.5,1,spanish-core
azul,real,1,0,0.5,1,spanish-random
amarillo,real,1,0,0.5,1,spanish-random
verde,real,1,0,0.5,1,spanish-random
blanco,real,1,0,0.5,1,spanish-random
comida,real,1,0,0.5,1,spanish-core
agua,real,1,0,0.5,1,spanish-random
leche,real,1,0,0.5,1,spanish-random
fruta,real,1,0,0.5,1,spanish-random
pelota,real,1,0,0.5,1,spanish-random
libro,real,1,0,0.5,1,spanish-random
amigo,real,1,0,0.5,1,spanish-random
estudiar,real,1,0,0.5,1,spanish-random
dibujar,real,1,0,0.5,1,spanish-random
nadar,real,1,0,0.5,1,spanish-random
corazón,real,1,0,0.5,1,spanish-random
árbol,real,1,0,0.5,1,spanish-random
flor,real,1,0,0.5,1,spanish-core
montaña,real,1,0,0.5,1,spanish-random
calle,real,1,0,0.5,1,spanish-core
fútbol,real,1,0,0.5,1,spanish-random
guitarra,real,1,0,0.5,1,spanish-random
película,real,1,0,0.5,1,spanish-random
ciudad,real,1,0,0.5,1,spanish-core
familia,real,1,0,0.5,1,spanish-random
hermana,real,1,0,0.5,1,spanish-core
tío,real,1,0,0.5,1,spanish-random
abuela,real,1,0,0.5,1,spanish-core
escuchar,real,1,0,0.5,1,spanish-random
hablar,real,1,0,0.5,1,spanish-random
leer,real,1,0,0.5,1,spanish-random
escribir,real,1,0,0.5,1,spanish-random
estudioso,real,1,0,0.5,1,spanish-random
inteligente,real,1,0,0.5,1,spanish-random
ruidoso,real,1,0,0.5,1,spanish-random
tranquilo,real,1,0,0.5,1,spanish-random
duro,real,1,0,0.5,1,spanish-random
fácil,real,1,0,0.5,1,spanish-random
dulce,real,1,0,0.5,1,spanish-random
salado,real,1,0,0.5,1,spanish-random
sabroso,real,1,0,0.5,1,spanish-random
divertido,real,1,0,0.5,1,spanish-random
interesante,real,1,0,0.5,1,spanish-random
pez,real,1,0,0.5,1,spanish-random
pájaro,real,1,0,0.5,1,spanish-core
insecto,real,1,0,0.5,1,spanish-core
elefante,real,1,0,0.5,1,spanish-random
tigre,real,1,0,0.5,1,spanish-random
león,real,1,0,0.5,1,spanish-random
ratón,real,1,0,0.5,1,spanish-random
oso,real,1,0,0.5,1,spanish-random
cabeza,real,1,0,0.5,1,spanish-random
ojo,real,1,0,0.5,1,spanish-core
boca,real,1,0,0.5,1,spanish-random
oreja,real,1,0,0.5,1,spanish-random
mano,real,1,0,0.5,1,spanish-random
pierna,real,1,0,0.5,1,spanish-random
brazo,real,1,0,0.5,1,spanish-random
cuerpo,real,1,0,0.5,1,spanish-random
ropa,real,1,0,0.5,1,spanish-core
sombrero,real,1,0,0.5,1,spanish-random
vestido,real,1,0,0.5,1,spanish-random
