,word,realpseudo,a,b,c,d,corpusId
0,pane,real,1,0,0.5,1,italian-core
1,formica,real,1,0,0.5,1,italian-random
2,barca,real,1,0,0.5,1,italian-random
3,bambola,real,1,0,0.5,1,italian-core
4,padella,real,1,0,0.5,1,italian-random
5,cavallo,real,1,0,0.5,1,italian-random
6,colla,real,1,0,0.5,1,italian-random
7,elefante,real,1,0,0.5,1,italian-core
8,fiore,real,1,0,0.5,1,italian-random
9,mano,real,1,0,0.5,1,italian-random
10,matita,real,1,0,0.5,1,italian-random
11,rospo,real,1,0,0.5,1,italian-random
12,tazzina,real,1,0,0.5,1,italian-random
13,urlo,real,1,0,0.5,1,italian-core
14,nave,real,1,0,0.5,1,italian-random
15,mente,real,1,0,0.5,1,italian-core
16,disordine,real,1,0,0.5,1,italian-random
17,mulino,real,1,0,0.5,1,italian-random
18,pesce,real,1,0,0.5,1,italian-core
19,medaglia,real,1,0,0.5,1,italian-random
20,tombola,real,1,0,0.5,1,italian-random
21,veleno,real,1,0,0.5,1,italian-random
22,tinta,real,1,0,0.5,1,italian-core
23,campo,real,1,0,0.5,1,italian-core
24,biscotto,real,1,0,0.5,1,italian-random
25,forbice,real,1,0,0.5,1,italian-random
26,sedia,real,1,0,0.5,1,italian-core
27,nuvola,real,1,0,0.5,1,italian-random
28,pomodoro,real,1,0,0.5,1,italian-core
29,bandiera,real,1,0,0.5,1,italian-random
30,cuore,real,1,0,0.5,1,italian-random
31,fare,real,1,0,0.5,1,italian-core
32,tempo,real,1,0,0.5,1,italian-random
33,sangue,real,1,0,0.5,1,italian-random
34,breve,real,1,0,0.5,1,italian-random
35,gara,real,1,0,0.5,1,italian-core
36,sala,real,1,0,0.5,1,italian-random
37,tetto,real,1,0,0.5,1,italian-random
38,stanza,real,1,0,0.5,1,italian-core
39,risolto,real,1,0,0.5,1,italian-core
40,resto,real,1,0,0.5,1,italian-random
41,pace,real,1,0,0.5,1,italian-core
42,elmo,real,1,0,0.5,1,italian-random
43,zecca,real,1,0,0.5,1,italian-random
44,ricerca,real,1,0,0.5,1,italian-random
45,mattina,real,1,0,0.5,1,italian-core
46,movimento,real,1,0,0.5,1,italian-random
47,lettera,real,1,0,0.5,1,italian-random
48,semplice,real,1,0,0.5,1,italian-random
49,signore,real,1,0,0.5,1,italian-random
50,controllo,real,1,0,0.5,1,italian-random
51,giornale,real,1,0,0.5,1,italian-random
52,incanto,real,1,0,0.5,1,italian-random
53,uomo,real,1,0,0.5,1,italian-random
54,grigio,real,1,0,0.5,1,italian-core
55,casa,real,1,0,0.5,1,italian-random
56,bambina,real,1,0,0.5,1,italian-random
57,dottore,real,1,0,0.5,1,italian-random
58,occhio,real,1,0,0.5,1,italian-random
59,signora,real,1,0,0.5,1,italian-core
60,padre,real,1,0,0.5,1,italian-random
61,testa,real,1,0,0.5,1,italian-core
62,mamma,real,1,0,0.5,1,italian-random
63,letto,real,1,0,0.5,1,italian-random
64,domenica,real,1,0,0.5,1,italian-core
65,giornata,real,1,0,0.5,1,italian-random
66,bagno,real,1,0,0.5,1,italian-random
67,scherzo,real,1,0,0.5,1,italian-random
68,lama,real,1,0,0.5,1,italian-core
69,sale,real,1,0,0.5,1,italian-core
70,nido,real,1,0,0.5,1,italian-random
71,insetto,real,1,0,0.5,1,italian-random
72,verdura,real,1,0,0.5,1,italian-core
73,chiodo,real,1,0,0.5,1,italian-random
74,scimmia,real,1,0,0.5,1,italian-random
75,corvo,real,1,0,0.5,1,italian-random
76,torta,real,1,0,0.5,1,italian-random
77,lampo,real,1,0,0.5,1,italian-random
78,piuma,real,1,0,0.5,1,italian-random
79,cesto,real,1,0,0.5,1,italian-random
80,cassetto,real,1,0,0.5,1,italian-random
81,vasca,real,1,0,0.5,1,italian-random
82,pugnale,real,1,0,0.5,1,italian-random
83,pena,real,1,0,0.5,1,italian-core
84,modo,real,1,0,0.5,1,italian-random
85,domanda,real,1,0,0.5,1,italian-core
86,ragione,real,1,0,0.5,1,italian-random
87,sogno,real,1,0,0.5,1,italian-core
88,scelta,real,1,0,0.5,1,italian-random
89,amore,real,1,0,0.5,1,italian-core
90,forza,real,1,0,0.5,1,italian-random
91,pezzo,real,1,0,0.5,1,italian-random
92,posto,real,1,0,0.5,1,italian-core
93,tatto,real,1,0,0.5,1,italian-random
94,pensiero,real,1,0,0.5,1,italian-random
95,segno,real,1,0,0.5,1,italian-random
96,qualcosa,real,1,0,0.5,1,italian-random
97,fama,real,1,0,0.5,1,italian-random
98,mito,real,1,0,0.5,1,italian-random
99,dominio,real,1,0,0.5,1,italian-core
100,azzardo,real,1,0,0.5,1,italian-random
101,globulo,real,1,0,0.5,1,italian-random
102,motto,real,1,0,0.5,1,italian-core
103,sfogo,real,1,0,0.5,1,italian-random
104,sfida,real,1,0,0.5,1,italian-core
105,tizio,real,1,0,0.5,1,italian-core
106,amarezza,real,1,0,0.5,1,italian-random
107,denuncia,real,1,0,0.5,1,italian-random
108,distacco,real,1,0,0.5,1,italian-random
109,svago,real,1,0,0.5,1,italian-random
110,sciopero,real,1,0,0.5,1,italian-random
111,rete,real,1,0,0.5,1,italian-random
112,soave,real,1,0,0.5,1,italian-random
113,data,real,1,0,0.5,1,italian-core
114,borsa,real,1,0,0.5,1,italian-core
115,inno,real,1,0,0.5,1,italian-random
116,costa,real,1,0,0.5,1,italian-random
117,riso,real,1,0,0.5,1,italian-random
118,vago,real,1,0,0.5,1,italian-core
