word,realpseudo,a,b,c,d,corpusId
MENINO,real,1,0,0.5,1,portuguese-core
JOGO,real,1,0,0.5,1,portuguese-core
RIO,real,1,0,0.5,1,portuguese-core
PAR,real,1,0,0.5,1,portuguese-core
NÚMERO,real,1,0,0.5,1,portuguese-core
PROFESSOR,real,1,0,0.5,1,portuguese-core
LEÃO,real,1,0,0.5,1,portuguese-core
DICA,real,1,0,0.5,1,portuguese-core
NOME,real,1,0,0.5,1,portuguese-core
BEBÊ,real,1,0,0.5,1,portuguese-core
LETRA,real,1,0,0.5,1,portuguese-core
MAIS,real,1,0,0.5,1,portuguese-core
UVA,real,1,0,0.5,1,portuguese-core
SOL,real,1,0,0.5,1,portuguese-core
FLOR,real,1,0,0.5,1,portuguese-core
CASA,real,1,0,0.5,1,portuguese-core
BOLA,real,1,0,0.5,1,portuguese-core
GATO,real,1,0,0.5,1,portuguese-core
CORUJA,real,1,0,0.5,1,portuguese-core
BONITO,real,1,0,0.5,1,portuguese-core
PULAR,real,1,0,0.5,1,portuguese-core
CORRER,real,1,0,0.5,1,portuguese-core
FOGO,real,1,0,0.5,1,portuguese-core
LOBO,real,1,0,0.5,1,portuguese-core
PIPA,real,1,0,0.5,1,portuguese-core
CONVERSA,real,1,0,0.5,1,portuguese-core
SUCATA,real,1,0,0.5,1,portuguese-core
VAI,real,1,0,0.5,1,portuguese-core
SUGESTÃO,real,1,0,0.5,1,portuguese-core
MÓDULO,real,1,0,0.5,1,portuguese-core
COMPOSIÇÃO,real,1,0,0.5,1,portuguese-core
OBRA,real,1,0,0.5,1,portuguese-core
TÁXI,real,1,0,0.5,1,portuguese-core
FANTASIA,real,1,0,0.5,1,portuguese-core
MARÉ,real,1,0,0.5,1,portuguese-core
ALERTA,real,1,0,0.5,1,portuguese-core
REDONDO,real,1,0,0.5,1,portuguese-core
SOSSEGAR,real,1,0,0.5,1,portuguese-core
PERSONAGEM,real,1,0,0.5,1,portuguese-core
RELER,real,1,0,0.5,1,portuguese-core
FLUPA,pseudo,1,0,0.5,1,portuguese-core
QUELFA,pseudo,1,0,0.5,1,portuguese-core
BLIDE,pseudo,1,0,0.5,1,portuguese-core
GRUTO,pseudo,1,0,0.5,1,portuguese-core
ESNITO,pseudo,1,0,0.5,1,portuguese-core
FRALGIM,pseudo,1,0,0.5,1,portuguese-core
MOU,pseudo,1,0,0.5,1,portuguese-core
TRUSCO,pseudo,1,0,0.5,1,portuguese-core
GRALIZ,pseudo,1,0,0.5,1,portuguese-core
NIFA,pseudo,1,0,0.5,1,portuguese-core
VINTROM,pseudo,1,0,0.5,1,portuguese-core
FRANTO,pseudo,1,0,0.5,1,portuguese-core
FLIMO,pseudo,1,0,0.5,1,portuguese-core
GRINTE,pseudo,1,0,0.5,1,portuguese-core
BLIMPA,pseudo,1,0,0.5,1,portuguese-core
QUIRVO,pseudo,1,0,0.5,1,portuguese-core
CRELATIMBO,pseudo,1,0,0.5,1,portuguese-core
TRUSBA,pseudo,1,0,0.5,1,portuguese-core
DRINTO,pseudo,1,0,0.5,1,portuguese-core
ESNARCO,pseudo,1,0,0.5,1,portuguese-core
ZIR,pseudo,1,0,0.5,1,portuguese-core
ESNURCOFA,pseudo,1,0,0.5,1,portuguese-core
FLUMBA,pseudo,1,0,0.5,1,portuguese-core
GRINTIZA,pseudo,1,0,0.5,1,portuguese-core
DRUSCO,pseudo,1,0,0.5,1,portuguese-core
BLINUR,pseudo,1,0,0.5,1,portuguese-core
ADASSE,pseudo,1,0,0.5,1,portuguese-core
CARAME,pseudo,1,0,0.5,1,portuguese-core
LINTA,pseudo,1,0,0.5,1,portuguese-core
GARAR,pseudo,1,0,0.5,1,portuguese-core
ZARAR,pseudo,1,0,0.5,1,portuguese-core
ACI,pseudo,1,0,0.5,1,portuguese-core
NIFRUL,pseudo,1,0,0.5,1,portuguese-core
SOLIZA,pseudo,1,0,0.5,1,portuguese-core
EMOSTA,pseudo,1,0,0.5,1,portuguese-core
FALIZA,pseudo,1,0,0.5,1,portuguese-core
CHADOS,pseudo,1,0,0.5,1,portuguese-core
ESCULA,pseudo,1,0,0.5,1,portuguese-core
AGELHE,pseudo,1,0,0.5,1,portuguese-core
ITÁVEL,pseudo,1,0,0.5,1,portuguese-core
DANÇAR,real,1,0,0.5,1,portuguese-core
PERNA,real,1,0,0.5,1,portuguese-core
ATIVIDADE,real,1,0,0.5,1,portuguese-core
GRANDE,real,1,0,0.5,1,portuguese-core
MÃO,real,1,0,0.5,1,portuguese-core
PLANTA,real,1,0,0.5,1,portuguese-core
LINHA,real,1,0,0.5,1,portuguese-core
RÁPIDO,real,1,0,0.5,1,portuguese-core
COLEÇÃO,real,1,0,0.5,1,portuguese-core
COR,real,1,0,0.5,1,portuguese-core
TRISTE,real,1,0,0.5,1,portuguese-core
ESPERTO,real,1,0,0.5,1,portuguese-core
DIFERENÇA,real,1,0,0.5,1,portuguese-core
TURMA,real,1,0,0.5,1,portuguese-core
CARRO,real,1,0,0.5,1,portuguese-core
CADERNO,real,1,0,0.5,1,portuguese-core
PRINCESA,real,1,0,0.5,1,portuguese-core
CRER,real,1,0,0.5,1,portuguese-core
DESENHO,real,1,0,0.5,1,portuguese-core
VOGAL,real,1,0,0.5,1,portuguese-core
ACIANDO,pseudo,1,0,0.5,1,portuguese-core
ANDOSTAR,pseudo,1,0,0.5,1,portuguese-core
APARAME,pseudo,1,0,0.5,1,portuguese-core
BARAMEM,pseudo,1,0,0.5,1,portuguese-core
SOFREPA,pseudo,1,0,0.5,1,portuguese-core
DÍSTICA,pseudo,1,0,0.5,1,portuguese-core
DISTRANO,pseudo,1,0,0.5,1,portuguese-core
ENTERAME,pseudo,1,0,0.5,1,portuguese-core
INADOSTA,pseudo,1,0,0.5,1,portuguese-core
ESTICOLO,pseudo,1,0,0.5,1,portuguese-core
MANDOSTA,pseudo,1,0,0.5,1,portuguese-core
MINADOSTRA,pseudo,1,0,0.5,1,portuguese-core
QUIRA,pseudo,1,0,0.5,1,portuguese-core
RADASSE,pseudo,1,0,0.5,1,portuguese-core
RAMENCIO,pseudo,1,0,0.5,1,portuguese-core
RANDISTA,pseudo,1,0,0.5,1,portuguese-core
SARAMÉ,pseudo,1,0,0.5,1,portuguese-core
SOLIZADO,pseudo,1,0,0.5,1,portuguese-core
TRAMENTE,pseudo,1,0,0.5,1,portuguese-core
TRANDIS,pseudo,1,0,0.5,1,portuguese-core
