"identifier","label","en-US","es-CO","de","fr-CA","nl","en-GH","de-CH","es-AR"
"components/participant-sidebar.grade","","Grade","Grado","Klasse","Grade","Grade","Grade","Klasse","Grade"
"components/participant-sidebar.studentInfo","","Participant Info","Información del estudiante","Schülerinformationen","Participant Info","Participant Info","Participant Info","Schülerinformationen","Participant Info"
"components/participant-sidebar.tasksCompleted","","Tasks completed!","¡Tareas completadas! ","Aufgaben abgeschlossen!","Tasks completed!","Tasks completed!","tasks completed!","Aufgaben abgeschlossen!","Tasks completed!"
"components/participant-sidebar.statusCurrent","","Current","Actual","Aktuell","Current","Current","","Aktuell","Current"
"components/participant-sidebar.statusOpened","","Opened","Abierto","Opened","Opened","Opened","","Opened","Opened"
"components/participant-sidebar.statusClose","","Close","Cerrar","Schließen","Close","Close","","Schließen","Close"
"components/participant-sidebar.statusClosed","","Closed","Cerrado","Closed","Closed","Closed","","Closed","Closed"
"components/participant-sidebar.statusOpen","","Open","Abrir","Open","Open","Open","","Open","Open"
"components/participant-sidebar.statusUpcoming","","Upcoming","Próximo","Kommend","Upcoming","Upcoming","","Kommend","Upcoming"
"components/participant-sidebar.statusPast","","Past","Pasado","Vergangen","Past","Past","","Vergangen","Past"
"components/participant-sidebar.assignments","","Assignments","Actividades","Zuordnungen","Assignments","Assignments","","Zuordnungen","Assignments"
"components/participant-sidebar.noCurrentAssignments","","You have no current assignments.","No tienes actividades actuales.","You have no current assignments.","You have no current assignments.","You have no current assignments.","","You have no current assignments.","You have no current assignments."
"components/participant-sidebar.noUpcomingAssignments","","You have no upcoming assignments.","No tienes actividades pendientes.","You have no upcoming assignments.","You have no upcoming assignments.","You have no upcoming assignments.","","You have no upcoming assignments.","You have no upcoming assignments."
"components/participant-sidebar.noPastAssignments","","You have no past assignments.","No tienes actividades anteriores.","You have no past assignments.","You have no past assignments.","You have no past assignments.","","You have no past assignments.","You have no past assignments."
