"identifier","label","en-US","es-CO","de","fr-CA","nl","en-GH","de-CH","es-AR"
"auth/consent.acceptButton","acceptButton","Accept","Aceptar","Akzeptieren","","","Accept","",""
"auth/consent.assentTitle","assentTitle","Assent","Asentimiento","Zustimmung","","","Assent","",""
"auth/consent.consentTitle","consentTitle","Consent","Consentimiento","Zustimmung","","","Consent","",""
"auth/consent.consentUpdatedStatus","consentUpdatedStatus","Consent status updated","Estado de consentimiento actualizado","Zustimmungsstatus aktualisiert","","","Consent status updated","",""
"auth/consent.header","header","Consent","Consentimiento","Zustimmung","","","Consent","",""
"auth/consent.rejectButton","rejectButton","No, sign me out","No, cerrar sesión","Nein, mich abmelden","","","No, sign me out","",""
"auth/consent.title","title","","","","","","","",""
"auth/consent.toastHeader","toastHeader","Confirmed","Confirmado","Bestätigt","","","Confirmed","",""
"auth/signin.atLeastOneLowercase","atLeastOneLowercase","At least one lowercase","Al menos una minúscula","Mindestens ein Kleinbuchstabe","","","At least one lowercase","",""
"auth/signin.atLeastOneNumber","atLeastOneNumber","At least one number","Al menos un número","Mindestens eine Zahl","","","At least one number","",""
"auth/signin.atLeastOneNumeric","atLeastOneNumeric","At least one numeric","Al menos un carácter numérico","Mindestens eine Nummer","","","At least one numeric","",""
"auth/signin.atLeastOneUpperCase","atLeastOneUpperCase","At least one uppercase","Al menos una mayúscula","Mindestens ein Großbuchstabe","","","At least one uppercase","",""
"auth/signin.buttonLabel","buttonLabel","Go!","¡Vamos!","Los!","","","Go!","",""
"auth/signin.continueWithGoogle","continueWithGoogle","Continue with Google","Continuar con Google","Machen Sie weiter mit Google","","","Continue with Google","",""
"auth/signin.emailId","emailId","email","correo electrónico","E-Mail","","","email","",""
"auth/signin.emailPlaceholder","emailPlaceholder","Username or email","Nombre de usuario o correo electrónico","Benutzername oder E-Mail","","","Username or email","",""
"auth/signin.forgotPassword","forgotPassword","Forgot Password?","¿Olvidaste tu contraseña?","Passwort vergessen?","","","Forgot Password?","",""
"auth/signin.incorrectEmailOrPassword","incorrectEmailOrPassword","Incorrect username/email or password","Nombre de usuario/correo electrónico o contraseña incorrectos","Falscher Benutzername/E-Mail oder Passwort","","","Incorrect username/email or password","",""
"auth/signin.invalidEmailPlaceholder","invalidEmailPlaceholder","Error: invalid email","Error: correo electrónico inválido","Fehler: Ungültige E-Mail","","","Error: invalid email","",""
"auth/signin.minimumCharacters","minimumCharacters","Minimum 8 characters","Mínimo 8 caracteres","Mindestens 8 Zeichen","","","Minimum 8 characters","",""
"auth/signin.pageTitle","pageTitle","","","","","","","",""
"auth/signin.passwordId","passwordId","password","contraseña","Passwort","","","password","",""
"auth/signin.passwordPlaceholder","passwordPlaceholder","Password","Contraseña","Passwort","","","Password","",""
"auth/signin.pickPassword","pickPassword","Pick a password","Elige una contraseña","Wählen Sie ein Passwort","","","Pick a password","",""
"auth/signin.selectLanguage","selectLanguage","Select Language","Seleccionar idioma","Sprache auswählen","","","Select Language","",""
"auth/signin.selectLanguageLabel","selectLanguageLabel","Language","Idioma","Sprache","","","Language","",""
"auth/signin.signInWithEmailLinkInstead","signInWithEmailLinkInstead","Sign-in using email link","Inicia sesión usando el enlace de correo electrónico","Mit E-Mail-Link anmelden","","","Sign-in using email link","",""
"auth/signin.signInWithEmailLinkPlaceHolder","signInWithEmailLinkPlaceHolder","Press Go to sign-in with an email link.","Presiona ¡Vamos! para iniciar sesión con un enlace de correo electrónico.","Drücken Sie „Los“, um sich mit einem E-Mail-Link anzumelden.","","","Press Go to sign-in with an email link.","",""
"auth/signin.signInWithPasswordInstead","signInWithPasswordInstead","Sign-in using password","Inicia sesión usando la contraseña","Mit Passwort anmelden","","","Sign-in using password","",""
"auth/signin.suggestions","suggestions","Suggestions","Sugerencias","Vorschläge","","","Suggestions","",""
"pages/home-participant.consentUpdatedStatus","consentUpdatedStatus","","","","","","","",""
"pages/home-participant.contactAdministrator","contactAdministrator","Please contact your administrator to get added to an assignment.","Por favor, contacta a tu administrador para que te agreguen a una asignación.","Bitte kontaktieren Sie Ihren Administrator, um zu einer Zuordnung hinzugefügt zu werden.","","","Please contact your administrator to get added to an assignment.","",""
"pages/home-participant.loadingAssignments","loadingAssignments","Loading Assignments","Cargando Asignaciones","Lade Zuordnungen","","","Loading Assignments","",""
"pages/home-participant.noAssignments","noAssignments","You have no assignments!","¡No tienes asignaciones!","Sie haben keine Zuordnungen!","","","You have no assignments!","",""
"pages/home-participant.selectAssignment","selectAssignment","Select an assignment","Seleccionar una asignación","Wählen Sie eine Zuordnung aus","","","Select an assignment","",""
